Music,Artist,Text,Language,Url,Search Status
RuaAugusta,RonnieCord,"['rua', 'augusta', 'ronnie', 'cord', 'entrei', 'rua', 'augusta', 'hora', 'botei', 'turma', 'toda', 'passeio', 'pra', 'fiz', 'curva', 'duas', 'rodas', 'usar', 'buzina', 'parei', 'quatro', 'dedos', 'vitrina', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfredo', 'gang', 'medo', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfredo', 'gang', 'medo', 'carro', 'breque', 'luz', 'buzina', 'três', 'carburadores', 'todos', 'três', 'envenenados', 'pára', 'subida', 'acaba', 'gasolina', 'passa', 'sinal', 'fechado', 'toquei', 'destino', 'cidade', 'anhangabaú', 'botei', 'velocidade', 'três', 'pneus', 'carecas', 'derrapando', 'raia', 'subi', 'galeria', 'prestes', 'maia', 'tremendão', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfredo', 'gang', 'medo', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfredo', 'gang', 'medo']",PT-BR,https://api.vagalume.com.br/search.php?art= Ronnie Cord &mus=Rua-Augusta&apikey=dc668952146a4a25b6d06586e7b69708,aprox
ABanda,NaraLeão,"['toa', 'vida', 'amor', 'chamou', 'pra', 'ver', 'banda', 'passar', 'cantando', 'coisas', 'amor', 'gente', 'sofrida', 'despediu-se', 'dor', 'pra', 'ver', 'banda', 'passar', 'cantando', 'coisas', 'amor', 'homem', 'sério', 'contava', 'dinheiro', 'parou', 'faroleiro', 'contava', 'vantagem', 'parou', 'namorada', 'contava', 'estrelas', 'parou', 'ver', 'ouvir', 'dar', 'passagem', 'moça', 'triste', 'vivia', 'calada', 'sorriu', 'rosa', 'triste', 'vivia', 'fechada', 'abriu', 'meninada', 'toda', 'assanhou', 'pra', 'ver', 'banda', 'passar', 'cantando', 'coisas', 'amor', 'estribilho', 'velho', 'fraco', 'esqueceu', 'cansaço', 'pensou', 'ainda', 'moço', 'pra', 'sair', 'terraço', 'dançou', 'moça', 'feia', 'debruçou', 'janela', 'pensando', 'banda', 'tocava', 'pra', 'marcha', 'alegre', 'espalhou', 'avenida', 'insistiu', 'lua', 'cheia', 'vivia', 'escondida', 'surgiu', 'cidade', 'toda', 'enfeitou', 'pra', 'ver', 'banda', 'passar', 'cantando', 'coisas', 'amor', 'desencanto', 'doce', 'acabou', 'tudo', 'tomou', 'lugar', 'banda', 'passou', 'cada', 'canto', 'cada', 'canto', 'dor', 'banda', 'passar', 'cantando', 'coisas', 'amor']",PT-BR,https://api.vagalume.com.br/search.php?art= Nara Leao &mus=A-Banda&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Baby,GalCosta,"['precisa', 'saber', 'piscina', 'margarina', 'carolina', 'gasolina', 'precisa', 'saber', 'mim', 'baby', 'baby', 'sei', 'assim', 'precisa', 'tomar', 'sorvete', 'lanchonete', 'andar', 'gente', 'ver', 'perto', 'ouvir', 'canção', 'roberto', 'baby', 'baby', 'quanto', 'tempo', 'precisa', 'aprender', 'inglês', 'precisa', 'aprender', 'sei', 'sei', 'sei', 'sei', 'comigo', 'vai', 'tudo', 'azul', 'contigo', 'vai', 'tudo', 'paz', 'vivemos', 'melhor', 'cidade', 'américa', 'sul', 'américa', 'sul', 'precisa', 'precisa', 'sei', 'leia', 'camisa', 'baby', 'baby', 'i', 'love', 'you']",PT-BR,https://api.vagalume.com.br/search.php?art= Gal Costa &mus=Baby&apikey=dc668952146a4a25b6d06586e7b69708,exact
NamoradadeumAmigoMeu,RobertoCarlos,"['amando', 'loucamente', 'namoradinha', 'amigo', 'sei', 'errado', 'sei', 'aconteceu', 'dia', 'querer', 'olhei', 'olhar', 'disfarcei', 'pra', 'ninguém', 'notar', 'sei', 'faço', 'pra', 'ninguém', 'saber', 'gamado', 'assim', 'dois', 'souberem', 'sei', 'vão', 'pensar', 'mim', 'sei', 'vou', 'sofrer', 'esquecer', 'outros', 'deve', 'ter', 'vou', 'procurar', 'alguém', 'ninguém', 'pois', 'comigo', 'aconteceu', 'gostar', 'namorada', 'amigo']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Namorada-de-um-Amigo-Meu&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK
Hoje,Taiguara,"['hoje', 'trago', 'corpo', 'marcas', 'tempo', 'desespero', 'vida', 'momento', 'fossa', 'fome', 'flor', 'fim', 'mundo', 'hoje', 'trago', 'olhar', 'imagens', 'distorcidas', 'cores', 'viagens', 'mãos', 'desconhecidas', 'trazem', 'lua', 'rua', 'mãos', 'hoje', 'mãos', 'enfraquecidas', 'vazias', 'procuram', 'nuas', 'luas', 'ruas', 'solidão', 'noites', 'frias', 'hoje', 'homens', 'medo', 'aportam', 'futuro', 'medo', 'acordo', 'procuro', 'quarto', 'escuro', 'inerte', 'morte', 'hoje', 'homens', 'aço', 'esperam', 'ciência', 'desespero', 'abraço', 'ausência', 'resta', 'vivo', 'sorte', 'ah', 'sorte', 'queria', 'juventude', 'assim', 'perdida', 'queria', 'andar', 'morrendo', 'vida', 'queria', 'amar', 'assim', 'amei']",PT-BR,https://api.vagalume.com.br/search.php?art= Taiguara &mus=Hoje&apikey=dc668952146a4a25b6d06586e7b69708,exact
Esmeralda,CarlosJosé,"['esmeralda', 'vestida', 'noiva', 'véu', 'grinalda', 'lá', 'vai', 'esmeralda', 'casar', 'igreja', 'deus', 'queira', 'anjos', 'cantem', 'pra', 'lá', 'capela', 'vigário', 'deus', 'queira', 'noite', 'hora', 'festa', 'venha', 'orquestra', 'venha', 'ninguém', 'pra', 'ver', 'esmeralda', 'véu', 'grinalda', 'braços', 'outro', 'bem', 'devia', 'casar', 'sim', 'senhor', 'devia', 'casar', 'amor', 'coral', 'vestida', 'noiva', 'véu', 'grinalda', 'lá', 'vai', 'esmeralda', 'casar', 'igreja', 'deus', 'queira', 'anjos', 'cantem', 'pra', 'lá', 'capela', 'vigário', 'deus', 'queira', 'noite', 'hora', 'festa', 'venha', 'orquestra', 'venha', 'ninguém', 'pra', 'ver', 'esmeralda', 'véu', 'grinalda', 'braços', 'outro', 'bem', 'devia', 'casar', 'sim', 'senhor', 'devia', 'casar', 'amor']",PT-BR,https://api.vagalume.com.br/search.php?art= Carlos Jose &mus=Esmeralda&apikey=dc668952146a4a25b6d06586e7b69708,exact
Ficacomigoessanoite,NelsonGonçalves,"['fica', 'comigo', 'noite', 'arrependerás', 'lá', 'frio', 'açoite', 'calor', 'aqui', 'terás', 'terás', 'beijos', 'amor', 'carícias', 'terás', 'fica', 'comigo', 'noite', 'arrependerás', 'quero', 'braços', 'querida', 'adormecer', 'sonhar', 'esquecer', 'deixamos', 'querermos', 'deixar', 'ouvirás', 'digo', 'ouvirei', 'dizes', 'fica', 'comigo', 'noite', 'então', 'felizes', 'quero', 'braços', 'querida', 'adormecer', 'sonhar', 'esquecer', 'deixamos', 'querermos', 'deixar', 'ouvirás', 'digo', 'ouvirei', 'dizes', 'fica', 'comigo', 'noite', 'então', 'felizes']",PT-BR,https://api.vagalume.com.br/search.php?art= Nelson Goncalves &mus=Fica-comigo-essa-noite&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK
Fazmerir,EdithVeiga,"['podes', 'pensar', 'quero', 'podes', 'sonhar', 'amor', 'vez', 'dei', 'carinho', 'ilusão', 'encheu-me', 'dor', 'dizer', 'vaidosa', 'orgulhosa', 'ser', 'mulher', 'outros', 'homens', 'pretendem', 'ti', 'quero', 'voltar', 'querer', 'faz-me', 'rir', 'andas', 'dizendo', 'adoro', 'morro', 'ti', 'enganes', 'dizendo', 'mentiras', 'enganes', 'faças', 'rir', 'parece', 'impossível', 'dia', 'foste', 'homem', 'sonhado', 'mim', 'cínica', 'farsa', 'agora', 'faz-me', 'rir', 'ai', 'faz-me', 'rir']",PT-BR,https://api.vagalume.com.br/search.php?art= Edith Veiga &mus=Faz-me-rir&apikey=dc668952146a4a25b6d06586e7b69708,aprox
RitmodeChuva,Demétrius,"['olho', 'chuva', 'quer', 'cessar', 'nela', 'vejo', 'amor', 'chuva', 'ingrata', 'vai', 'parar', 'pra', 'aliviar', 'dor', 'sei', 'amor', 'pra', 'longe', 'chuva', 'caiu', 'gente', 'favor', 'pra', 'vai', 'voltar', 'coração', 'partiu', 'chuva', 'traga', 'benzinho', 'pois', 'preciso', 'carinho', 'diga', 'pra', 'deixar', 'triste', 'assim', 'ritimo', 'pingos', 'cair', 'chão', 'deixa', 'relembrar', 'tomara', 'fique', 'esperar', 'vão', 'faz', 'chorar', 'chuva', 'traga', 'benzinho', 'pois', 'preciso', 'carinho', 'diga', 'pra', 'deixar', 'triste', 'assim', 'ritimo', 'pingos', 'cair', 'chão', 'deixa', 'relembrar', 'tomara', 'fique', 'esperar', 'vão', 'faz', 'chorar', 'oh', 'chuva', 'traga', 'amor', 'chuve', 'chuva', 'traga', 'amor', 'ouça', 'chuva', 'traga', 'amor']",PT-BR,https://api.vagalume.com.br/search.php?art= Demetrius &mus=Ritmo-de-Chuva&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK
VoltaPorCima,NoiteIlustrada,"['chorei', 'procurei', 'esconder', 'todos', 'viram', 'fingiram', 'pena', 'mim', 'precisava', 'ali', 'onde', 'chorei', 'qualquer', 'chorava', 'dar', 'volta', 'cima', 'dei', 'quero', 'ver', 'dava', 'homem', 'moral', 'fica', 'chão', 'quer', 'mulher', 'venha', 'dar', 'mão', 'reconhece', 'queda', 'desanima', 'levanta', 'sacode', 'poeira', 'dá', 'volta', 'cima']",PT-BR,https://api.vagalume.com.br/search.php?art= Noite Ilustrada &mus=Volta-Por-Cima&apikey=dc668952146a4a25b6d06586e7b69708,aprox
SentimentalDemais,AltemarDutra,"['sentimental', 'demais', 'sei', 'assim', 'porque', 'assim', 'faz', 'músicas', 'vivo', 'cantar', 'sabor', 'igual', 'diz', 'sentimental', 'romântico', 'sonhar', 'sonho', 'assim', 'cantando', 'canções', 'ama', 'igual', 'mim', 'achar', 'alguém', 'achei', 'verá', 'natural', 'ficar', 'fiquei', 'cada', 'vez', 'sentimental']",PT-BR,https://api.vagalume.com.br/search.php?art= Altemar Dutra &mus=Sentimental-Demais&apikey=dc668952146a4a25b6d06586e7b69708,aprox
SáMarina,WilsonSimonal,"['descendo', 'rua', 'ladeira', 'viu', 'pode', 'contar', 'cheirando', 'flor', 'laranjeira', 'sá', 'marina', 'vem', 'pra', 'dançar', 'saia', 'branca', 'costumeira', 'gira', 'sol', 'parou', 'pra', 'olhar', 'jeitinho', 'tão', 'faceira', 'fez', 'povo', 'inteiro', 'cantar', 'roda', 'vida', 'afora', 'põe', 'pra', 'alegria', 'dança', 'amanhece', 'dia', 'prá', 'cantar', 'gira', 'gente', 'aflita', 'agita', 'segue', 'passo', 'mostra', 'toda', 'poesia', 'olhar', 'deixando', 'versos', 'partida', 'cantigas', 'pra', 'cantar', 'naquela', 'tarde', 'domingo', 'fez', 'povo', 'inteiro', 'chorar', 'fez', 'povo', 'inteiro', 'chorar']",PT-BR,https://api.vagalume.com.br/search.php?art= Wilson Simonal &mus=Sa-Marina&apikey=dc668952146a4a25b6d06586e7b69708,aprox
MulherDeTrinta,Miltinho,"['mulher', 'viveu', 'sofreu', 'minta', 'triste', 'adeus', 'olhos', 'gente', 'vê', 'mulher', 'trinta', 'olhar', 'voz', 'novo', 'mundo', 'sinta', 'bom', 'sonhar', 'sonhemos', 'mulher', 'trinta', 'amanhã', 'sempre', 'vem', 'eo', 'amanhã', 'pode', 'trazer', 'alguém']",PT-BR,https://api.vagalume.com.br/search.php?art= Miltinho &mus=Mulher-De-Trinta&apikey=dc668952146a4a25b6d06586e7b69708,exact
Estãovoltandoasflores,HelenadeLima,"['vê', 'voltando', 'flores', 'vê', 'nessa', 'manhã', 'tão', 'linda', 'vê', 'bonita', 'vida', 'vê', 'esperança', 'ainda', 'vê', 'nuvens', 'vão', 'passando', 'vê', 'novo', 'céu', 'abrindo', 'vê', 'sol', 'iluminando', 'onde', 'vamos', 'indo']",PT-BR,https://api.vagalume.com.br/search.php?art= Helena de Lima &mus=Estao-voltando-as-flores&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Biquinidebolinhaamarelinha,RonnieCord,"['ana', 'maria', 'entrou', 'cabine', 'vestir', 'biquíni', 'legal', 'tão', 'pequenino', 'biquíni', 'ana', 'maria', 'sentindo-se', 'mau', 'ai', 'ai', 'ai', 'ficou', 'sensacional', 'biquíni', 'bolinha', 'amarelinha', 'tão', 'pequinininho', 'mau', 'cabia', 'ana', 'maria', 'biquíni', 'bolinha', 'amarelinha', 'tão', 'pequinininho', 'palma', 'mão', 'escondia', 'ana', 'maria', 'toda', 'envergonhada', 'sair', 'cabine', 'assim', 'ficou', 'medo', 'rapaziada', 'olhasse', 'tudo', 'tim', 'tim', 'ai', 'ai', 'ai', 'garota', 'tá', 'pra', 'mim', 'biquíni', 'bolinha', 'amarelinha', 'tão', 'pequinininho', 'mau', 'cabia', 'ana', 'maria', 'biquíni', 'bolinha', 'amarelinha', 'tão', 'pequinininho', 'palma', 'mão', 'escondia', 'ana', 'maria', 'olhou-se', 'espelho', 'quase', 'despida', 'afinal', 'ficou', 'rosto', 'todinho', 'vermelho', 'escondeu', 'maiô', 'dedal', 'acabou', 'toda', 'folia', 'mocinha', 'cabine', 'queria', 'ver', 'moça', 'biquini']",PT-BR,https://api.vagalume.com.br/search.php?art= Ronnie Cord &mus=Biquini-de-bolinha-amarelinha&apikey=dc668952146a4a25b6d06586e7b69708,aprox
ChoveChuva,JorgeBenJor,"['chove', 'chuva', 'chove', 'parar', 'chove', 'chuva', 'chove', 'parar', 'pois', 'vou', 'fazer', 'prece', 'pra', 'deus', 'senhor', 'pra', 'chuva', 'parar', 'molhar', 'divino', 'amor', 'lindo', 'infinito', 'puro', 'belo', 'inocente', 'flor', 'favor', 'chuva', 'ruim', 'molhe', 'amor', 'assim']",PT-BR,https://api.vagalume.com.br/search.php?art= Jorge Ben Jor &mus=Chove-Chuva&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Esqueça,RobertoCarlos,"['esqueça', 'ama', 'esqueça', 'quer', 'chore', 'sofra', 'assim', 'porque', 'posso', 'dar', 'amor', 'fim', 'pensa', 'querer-te', 'faz', 'sofrer', 'chorar', 'chore', 'vem', 'pra', 'mim', 'vem', 'sofra', 'pense', 'chore', 'bem']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Esqueca&apikey=dc668952146a4a25b6d06586e7b69708,exact
APraça,RonnieVon,"['hoje', 'acordei', 'saudades', 'beijei', 'foto', 'ofertou', 'sentei', 'naquele', 'banco', 'pracinha', 'porque', 'lá', 'começou', 'amor', 'senti', 'passarinhos', 'todos', 'reconheceram', 'entenderam', 'toda', 'solidão', 'ficaram', 'tão', 'tristonhos', 'emudeceram', 'aí', 'então', 'fiz', 'canção', 'mesma', 'praça', 'banco', 'mesmas', 'flores', 'jardim', 'tudo', 'igual', 'triste', 'porque', 'perto', 'mim', 'beijei', 'árvore', 'tão', 'linda', 'onde', 'canivete', 'coração', 'desenhei', 'escrevi', 'coração', 'nome', 'junto', 'ser', 'grande', 'amor', 'então', 'jurei', 'guarda', 'ainda', 'dia', 'pegou', 'roubando', 'rosa', 'amarela', 'pra', 'ainda', 'balanço', 'gangorra', 'amor', 'crianças', 'param', 'correr', 'mesma', 'praça', 'bom', 'velhinho', 'pipoqueiro', 'viu', 'envergonhado', 'namoro', 'falei', 'ainda', 'sorveteiro', 'assistiu', 'primeiro', 'beijo', 'dei', 'gente', 'vai', 'crescendo', 'vai', 'crescendo', 'tempo', 'passa', 'nunca', 'esquece', 'felicidade', 'encontrou', 'sempre', 'vou', 'lembrar', 'banco', 'lá', 'praça', 'lá', 'começou', 'amor']",PT-BR,https://api.vagalume.com.br/search.php?art= Ronnie Von &mus=A-Praca&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Paistropical,WilsonSimonal,"['moro', 'país', 'tropical', 'abençoado', 'deus', 'bonito', 'natureza', 'beleza', 'fevereiro', 'fevereiro', 'carnaval', 'carnaval', 'fusca', 'violão', 'flamengo', 'nêga', 'chamada', 'tereza', 'sambaby', 'sambaby', 'menino', 'mentalidade', 'mediana', 'pois', 'assim', 'feliz', 'vida', 'pois', 'devo', 'nada', 'ninguém', 'pois', 'pois', 'feliz', 'feliz', 'comigo', 'moro', 'país', 'tropical', 'abençoado', 'deus', 'bonito', 'natureza', 'beleza', 'fevereiro', 'fevereiro', 'carnaval', 'carnaval', 'fusca', 'violão', 'flamengo', 'nêga', 'chamada', 'tereza', 'sambaby', 'sambaby', 'posso', 'ser', 'band', 'leader', 'pois', 'assim', 'lá', 'casa', 'todos', 'amigos', 'camaradinhas', 'respeitam', 'pois', 'razão', 'simpatia', 'poder', 'algo', 'alegria', 'moro', 'país', 'tropical', 'abençoado', 'deus', 'bonito', 'natureza', 'beleza', 'fevereiro', 'fevereiro', 'carnaval', 'carnaval', 'fusca', 'violão', 'flamengo', 'nêga', 'chamada', 'tereza', 'mor', 'patropi', 'abençoá', 'dê', 'boni', 'naturê', 'belê', 'feverê', 'feverê', 'carná', 'carná', 'fuca', 'vió', 'flamen', 'nêga', 'chamá', 'terê', 'brasil']",PT-BR,https://api.vagalume.com.br/search.php?art= Wilson Simonal &mus=Pais-tropical&apikey=dc668952146a4a25b6d06586e7b69708,aprox
