Music,Artist,Text,Language,Url,Search Status,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
LiberarGeral,TerraSamba,"['nada', 'mal', 'curtir', 'terrasamba', 'nada', 'mal', 'que', 'legal', 'é', 'entrar', 'clima', 'liberar', 'geral', 'nada', 'mal', 'curtir', 'terrasamba', 'nada', 'mal', 'que', 'legal', 'é', 'entrar', 'clima', 'liberar', 'geral', 'vira-e-mexe', 'noite', 'inteira', 'ôh', 'ôh', 'ôh', 'no', 'meio', 'ladeira', 'pra', 'lavantar', 'poeira', 'ah', 'ah', 'perder', 'estribeira', 'vira-e-mexe', 'noite', 'inteira', 'ôh', 'ôh', 'ôh', 'no', 'meio', 'ladeira', 'pra', 'lavantar', 'poeira', 'ah', 'ah', 'perder', 'estribeira', 'o', 'terra', 'samba', 'assim', 'swing', 'swing', 'prá', 'prá', 'mim', 'excita', 'corpo', 'razão', 'existir', 'no', 'samba', 'samba', 'quero', 'ficar', 'o', 'terra', 'samba', 'assim', 'swing', 'swing', 'prá', 'prá', 'mim', 'excita', 'corpo', 'razão', 'existir', 'no', 'samba', 'samba', 'quero', 'ficar', '__________________________________________']",PT-BR,https://api.vagalume.com.br/search.php?art= Terra Samba &mus=Liberar-Geral&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
EstouApaixonado,JoãoPauloeDaniel,"['quero', 'beber', 'mel', 'boca', 'como', 'abelha', 'rainha', 'quero', 'escrever', 'areia', 'história', 'junto', 'acorde', 'doce', 'guitarra', 'tocar', 'notas', 'pensamento', 'cada', 'verso', 'traduzir', 'fibras', 'sentimento', 'que', 'apaixonado', 'amor', 'tão', 'grande', 'que', 'apaixonado', 'penso', 'todo', 'instante', 'eu', 'quero', 'ser', 'ar', 'respiras', 'eu', 'quero', 'ser', 'pão', 'alimenta', 'eu', 'quero', 'ser', 'água', 'refresca', 'vinho', 'esquenta', 'cair', 'caia', 'abraço', 'se', 'morrer', 'morra', 'desejo', 'adormecer', 'dizendo', 'amo', 'acordar', 'beijo', 'que', 'apaixonado', 'amor', 'tão', 'grande', 'que', 'apaixonado', 'penso', 'todo', 'instante', 'quero', 'sair', 'contigo', 'noite', 'enluarada', 'dois', 'adolescentes', 'madrugada', 'pra', 'viver', 'vida', 'pensar', 'nada', 'que', 'apaixonado', 'amor', 'tão', 'grande', 'que', 'apaixonado', 'penso', 'todo', 'instante']",PT-BR,https://api.vagalume.com.br/search.php?art= Joao Paulo e Daniel &mus=Estou-Apaixonado&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Ocantodacidade,DanielaMercury,"['cor', 'dessa', 'cidade', 'o', 'canto', 'dessa', 'cidade', 'cor', 'dessa', 'cidade', 'o', 'canto', 'dessa', 'cidade', 'o', 'gueto', 'rua', 'fé', 'eu', 'vou', 'andando', 'pé', 'pela', 'cidade', 'bonita', 'o', 'toque', 'afoxé', 'força', 'onde', 'vem', 'ninguém', 'explica', 'ela', 'bonita', 'o', 'gueto', 'rua', 'fé', 'eu', 'vou', 'andando', 'pé', 'pela', 'cidade', 'bonita', 'o', 'toque', 'afoxé', 'força', 'onde', 'vem', 'ninguém', 'explica', 'ela', 'bonita', 'uô', 'ô', 'verdadeiro', 'amor', 'uô', 'ô', 'você', 'vai', 'onde', 'vou', 'uô', 'ô', 'verdadeiro', 'amor', 'uô', 'ô', 'você', 'vai', 'onde', 'vou', 'não', 'diga', 'quer', 'não', 'diga', 'quer', 'eu', 'silêncio', 'noite', 'o', 'sol', 'manhã', 'mil', 'voltas', 'mundo', 'mas', 'ponto', 'final', 'eu', 'primeiro', 'canta', 'eu', 'carnaval', 'cor', 'dessa', 'cidade', 'o', 'canto', 'dessa', 'cidade', 'cor', 'dessa', 'cidade', 'o', 'canto', 'dessa', 'cidade', 'não', 'diga', 'quer', 'não', 'diga', 'quer', 'eu', 'silêncio', 'noite', 'o', 'sol', 'manhã', 'mil', 'voltas', 'mundo', 'mas', 'ponto', 'final', 'eu', 'primeiro', 'canta', 'eu', 'carnaval', 'uô', 'ô', 'verdadeiro', 'amor', 'uô', 'ô', 'você', 'vai', 'onde', 'vou', 'uô', 'ô', 'verdadeiro', 'amor', 'uô', 'ô', 'você', 'vai', 'onde', 'vou', 'cor', 'dessa', 'cidade', 'o', 'canto', 'dessa', 'cidade', 'cor', 'dessa', 'cidade', 'o', 'canto', 'dessa', 'cidade']",PT-BR,https://api.vagalume.com.br/search.php?art= Daniela Mercury &mus=O-canto-da-cidade&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
ÉoAmor,ZezéDiCamargoeLuciano,"['eu', 'vou', 'negar', 'louco', 'tô', 'maluco', 'pra', 'ver', 'eu', 'vou', 'negar', 'eu', 'vou', 'negar', 'tudo', 'saudade', 'você', 'traz', 'felicidade', 'eu', 'vou', 'negar', '*', 'eu', 'vou', 'negar', 'doce', 'mel', 'meu', 'pedacinho', 'céu', 'eu', 'vou', 'negar', 'você', 'doce', 'amada', 'minha', 'alegria', 'meu', 'conto', 'fada', 'minha', 'fantasia', 'paz', 'preciso', 'pra', 'sobreviver', 'eu', 'apaixonado', 'alma', 'transparente', 'um', 'louco', 'alucinado', 'meio', 'inconsequente', 'um', 'caso', 'complicado', 'entender', 'é', 'amor', 'que', 'mexe', 'cabeça', 'deixa', 'assim', 'que', 'faz', 'pensar', 'esquecer', 'mim', 'que', 'faz', 'esquecer', 'vida', 'feita', 'pra', 'viver', 'é', 'amor', 'que', 'veio', 'tiro', 'certo', 'coração', 'que', 'derrubou', 'base', 'forte', 'paixão', 'fez', 'entender', 'vida', 'nada', '*', 'repetir']",PT-BR,https://api.vagalume.com.br/search.php?art= Zeze Di Camargo e Luciano &mus=E-o-Amor&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
NoitePreta,VangeLeonel,"['luzes', 'cidade', 'meus', 'olhos', 'aguentam', 'luzes', 'artificiais', 'cadê', 'noite', 'preta', 'eu', 'saio', 'cidade', 'procuro', 'escuridão', 'purificação', 'calada', 'noite', 'da', 'noite', 'preta', 'calada', 'noite', 'preta', 'noite', 'preta', 'calada', 'noite', 'preta', 'noite', 'preta', 'calada', 'noite', 'preta', 'fecho', 'olhos', 'caverna', 'coração', 'perdidos', 'sim', 'na', 'calada', 'noite', 'preta', 'deus', 'deus', 'deus', 'aonde', 'vim', 'parar', 'à', 'noite', 'preta', 'vou', 'entregar']",PT-BR,https://api.vagalume.com.br/search.php?art= Vange Leonel &mus=Noite-Preta&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Meapaixoneipelapessoaerrada,Exaltasamba,"['eu', 'culpa', 'estar', 'amando', 'de', 'ficar', 'pensando']",toda hora Não entendo por que deixei acontecer E isso tudo me apavora  Você não tem culpa se eu estou sofrendo Se fantasiei de verde esta  história Você tem namorado posso até estar errado Mas tenho que ganhar você  É mais do que desejo é muito mais do que amor Eu te vejo nos meus sonhos E isso aumenta mais a minha dor  Eu me apaixonei pela pessoa errada Ninguém sabe o quanto que estou sofrendo Sempre que eu vejo ele do seu lado Morro de ciúme estou enlouquecendo (2x)  Fica comigo Me deixa ao menos te tocar Entenda que ao meu lado é o seu lugar  Eu me apaixonei pela pessoa errada Ninguém sabe o quanto que estou sofrendo Sempre que eu vejo ele do seu lado Morro de ciúme estou enlouquecendo (2x),PT-BR,https://api.vagalume.com.br/search.php?art= Exaltasamba &mus=Me-apaixonei-pela-pessoa-errada&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,
DepoisDoPrazer,SóPraContrariar,"['depois', 'do', 'prazer', 'tô', 'fazendo', 'amor', 'outra', 'pessoa', 'mas', 'coração', 'vai', 'ser', 'pra', 'sempre', 'o', 'corpo', 'faz', 'alma', 'perdoa', 'tanta', 'solidão', 'quase', 'enlouqueceu', 'vou', 'falar', 'amor', 'vou', 'jurar', 'paixão', 'dizer', 'sinto', 'todo', 'carinho', 'pensando', 'vou', 'fazer', 'toda', 'emoção', 'verdade', 'minto', 'vivo', 'sozinho', 'não', 'sei', 'esquecer', 'acabou', 'ilusão', 'criei', 'emoção', 'embora', 'gente', 'pede', 'pro', 'tempo', 'correr', 'já', 'sei', 'amou', 'que', 'falei', 'dá', 'pra', 'ver', 'nessa', 'hora', 'amor', 'mede', 'depois', 'prazer', 'fica', 'dentro', 'peito', 'sempre', 'saudade', 'só', 'pensando', 'jeito', 'eu', 'amo', 'verdade', 'desejo', 'vem', 'é', 'nome', 'chamo', 'posso', 'gostar', 'alguém', 'mas', 'amo', 'vou', 'falar', 'amor', 'vou', 'jurar', 'paixão', 'dizer', 'sinto', 'todo', 'carinho', 'pensando', 'vou', 'fazer', 'toda', 'emoção', 'verdade', 'minto', 'vivo', 'sozinho', 'não', 'sei', 'esquecer', 'acabou', 'ilusão', 'criei', 'emoção', 'embora', 'gente', 'pede', 'pro', 'tempo', 'correr', 'já', 'sei', 'amou', 'que', 'falei', 'dá', 'pra', 'ver', 'nessa', 'hora', 'amor', 'mede', 'depois', 'prazer']",PT-BR,https://api.vagalume.com.br/search.php?art= So Pra Contrariar &mus=Depois-Do-Prazer&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
PrefixodeVerão,BandaMel,"['ae', 'ae', 'ae', 'ae', 'ei', 'ei', 'ei', 'ei', 'oô', 'oô', 'oô', 'oô', 'oô', 'oô', 'quando', 'chegar', 'g/a', 'quando', 'chegar', 'quando', 'chegar', '#', 'm', 'numa', 'nova', 'estação', 'g7+', '#', 'm', 'te', 'espero', 'verão', '#', 'm', 'salve', 'salvador', '#', 'm', 'me', 'bato', 'quebro', 'tudo', 'amor', 'eu', 'pelô', '#', 'm', 'o', 'negro', 'raça', 'fruto', 'amor', 'salve', 'salvador', '#', 'm', 'me', 'bato', 'quebro', 'tudo', 'amor', 'eu', 'pelô', '#', 'm', 'ae', 'ae', 'ae', 'ae', 'g7+', 'ei', 'ei', 'ei', 'ei', '#', 'm', 'oô', 'oô', 'oô', 'oô', 'oô', 'oô', 'ae', 'ae', 'ae', 'ae', 'g7+', 'ei', 'ei', 'ei', 'ei', '#', 'm', 'oô', 'oô', 'solo', '#', 'm', '#', 'm']",PT-BR,https://api.vagalume.com.br/search.php?art= Banda Mel &mus=Prefixo-de-Verao&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
TôLegal,GrupoRaça,"['não', 'faz', 'mal', 'sonho', 'chegou', 'fim', 'sem', 'baixo', 'astral', 'coração', 'eu', 'juro', 'não', 'faz', 'mal', 'valeu', 'enquanto', 'durou', 'agora', 'terminou', 'preciso', 'cuidar', 'mim', 'não', 'faz', 'mal', 'primeira', 'vez', 'que', 'grande', 'amor', 'desfez', 'sem', 'ter', 'explicação', 'não', 'faz', 'mal', 'lamentar', 'o', 'tempo', 'apagar', 'marcas', 'dessa', 'paixão', 'tô', 'legal', 'apesar', 'disso', 'tudo', 'tô', 'legal', 'vou', 'pensar', 'futuro', 'tô', 'legal', 'é', 'coração', 'diz', 'tô', 'legal', 'apesar', 'disso', 'tudo', 'tô', 'legal', 'vou', 'pensar', 'futuro', 'tô', 'legal', 'quero', 'ver', 'feliz']",PT-BR,https://api.vagalume.com.br/search.php?art= Grupo Raca &mus=To-Legal&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
VidaCigana,RaçaNegra,"['oh', 'amor', 'não', 'fique', 'triste', 'saudade', 'existe', 'pra', 'sabe', 'ter', 'minha', 'vida', 'cigana', 'afastou', 'por', 'algum', 'tempo', 'vou', 'ter', 'viver', 'aqui', 'longe', 'longe', 'carinho', 'olhar', 'que', 'acompanha', 'tempo', 'penso', 'cada', 'momento', 'sou', 'água', 'rio', 'vai', 'mar', 'sou', 'nuvem', 'nova', 'vem', 'pra', 'molhar', 'essa', 'noiva', 'pra', 'mim', 'linda', 'dona', 'coração', 'que', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'o', 'coração', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'oh', 'amor', 'não', 'fique', 'triste', 'saudade', 'existe', 'pra', 'sabe', 'ter', 'minha', 'vida', 'cigana', 'afastou', 'por', 'algum', 'tempo', 'vou', 'ter', 'viver', 'aqui', 'longe', 'longe', 'carinho', 'olhar', 'que', 'acompanha', 'tempo', 'penso', 'cada', 'momento', 'sou', 'água', 'rio', 'vai', 'mar', 'sou', 'nuvem', 'nova', 'vem', 'pra', 'molhar', 'essa', 'noiva', 'pra', 'mim', 'linda', 'dona', 'coração', 'que', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'o', 'coração', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'o', 'coração', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'o', 'coração', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'o', 'coração', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'o', 'coração', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'o', 'coração', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'o', 'coração', 'bate', 'tanto', 'vê', 'é', 'verdade', 'faz', 'viver', 'o', 'coração', 'bate', 'tanto', 'vê']", Saudade existe pra quem sabe ter, Minha vida cigana me afastou de você, Por algum tempo eu vou ter que viver," Por aqui, longe de você", Longe do teu carinho:  E do teu olhar," Que me acompanha, já tem muito tempo", Penso em você a cada momento, Sou água de rio que vai para o mar, Sou núvem nova que vem pra molhar," Essa noiva, que é você", Pra mim você é linda:  A dona do meu coração," Que bate tanto, quando te vê", É a verdade que me faz viver O meu coração bate tanto quando te vê, É a verdade que me faz viver!,PT-BR,https://api.vagalume.com.br/search.php?art= Raca Negra &mus=Vida-Cigana&apikey=dc668952146a4a25b6d06586e7b69708,aprox
