Music;Artist;Text;Language;Url;Search Status
RuaAugusta;RonnieCord;Rua Augusta Ronnie Cord  Entrei na Rua Augusta a 120 por hora Botei a turma toda do passeio pra fora Fiz curva em duas rodas sem usar a buzina Parei a quatro dedos da vitrina  Hay, hay, Johnny Hay, hay, Alfredo Quem é da nossa gang não tem medo Hay, hay, Johnny Hay, hay, Alfredo                  Quem é da nossa gang não tem medo  Meu carro não tem breque, não tem luz,não tem buzina Tem três carburadores, todos os três envenenados Só pára na subida quando acaba a gasolina Só passa se tiver sinal fechado  Toquei a 130 com destino à cidade No Anhangabaú eu botei mais velocidade Com três pneus carecas derrapando na raia Subi a galeria Prestes Maia Tremendão  Hay, hay, Johnny Hay, hay, Alfredo Quem é da nossa gang não tem medo Hay, hay, Johnny Hay, hay, Alfredo Quem é da nossa gang não tem medo;PT-BR;https://api.vagalume.com.br/search.php?art= Ronnie Cord &mus=Rua-Augusta&apikey=dc668952146a4a25b6d06586e7b69708;aprox
ABanda;NaraLeão;Estava à toa na vida, o meu amor me chamou  Pra ver a banda passar cantando coisas de amor  A minha gente sofrida despediu-se da dor   Pra ver a banda passar cantando coisas de amor  O homem sério que contava dinheiro parou  O faroleiro que contava vantagem parou  A namorada que contava as estrelas parou  Para ver, ouvir e dar passagem   A moça triste que vivia calada sorriu  A rosa triste que vivia fechada se abriu E a meninada toda se assanhou  Pra ver a banda passar cantando coisas de amor    Estribilho      O velho fraco se esqueceu do cansaço e pensou  Que ainda era moço pra sair no terraço e dançou   A moça feia debruçou na janela  Pensando que a banda tocava pra ela   A marcha alegre se espalhou na avenida e insistiu  A lua cheia que vivia escondida surgiu  Minha cidade toda se enfeitou  Pra ver a banda passar cantando coisas de amor  Mas para meu desencanto o que era doce acabou  Tudo tomou seu lugar depois que a banda passou  E cada qual no seu canto, em cada canto uma dor  Depois da banda passar cantando coisas de amor;PT-BR;https://api.vagalume.com.br/search.php?art= Nara Leao &mus=A-Banda&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Baby;GalCosta;Você precisa saber da piscina Da margarina Da Carolina Da gasolina Você precisa saber de mim  Baby baby Eu sei que é assim  Você precisa tomar um sorvete Na lanchonete Andar com a gente Me ver de perto Ouvir aquela canção do Roberto  Baby baby Há quanto tempo  Você precisa aprender inglês Precisa aprender o que eu sei E o que eu não sei mais E o que eu não sei mais  Não sei, comigo vai tudo azul Contigo vai tudo em paz Vivemos na melhor cidade Da América do Sul Da América do Sul  Você precisa Você precisa Não sei Leia na minha camisa  Baby baby I love you.;PT-BR;https://api.vagalume.com.br/search.php?art= Gal Costa &mus=Baby&apikey=dc668952146a4a25b6d06586e7b69708;exact
NamoradadeumAmigoMeu;RobertoCarlos;Estou amando loucamente A namoradinha de um amigo meu Sei que estou errado Mas nem mesmo sei como isso aconteceu Um dia sem querer olhei em seu olhar E disfarcei até pra ninguém notar Não sei mais o que faço Pra ninguém saber que estou gamado assim Se os dois souberem Nem mesmo sei o que eles vão pensar de mim Eu sei que vou sofrer mas tenho que esquecer O que é dos outros não se deve ter Vou procurar alguém que não tenha ninguém Pois comigo aconteceu Gostar da namorada de um amigo meu;PT-BR;https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Namorada-de-um-Amigo-Meu&apikey=dc668952146a4a25b6d06586e7b69708;GoogleSearch OK
Hoje;Taiguara;Hoje Trago em meu corpo as marcas do meu tempo Meu desespero a vida num momento A fossa, a fome, a flor, o fim do mundo  Hoje Trago no olhar imagens distorcidas Cores, viagens, mãos desconhecidas Trazem a lua, a rua às minhas mãos  Mas hoje, As minhas mãos enfraquecidas e vazias Procuram nuas pelas luas, pelas ruas Na solidão das noites frias por você  Hoje Homens sem medo aportam no futuro Eu tenho medo acordo e te procuro Meu quarto escuro é inerte como a morte  Hoje Homens de aço esperam da ciência Eu desespero e abraço a tua ausência Que é o que me resta, vivo em minha sorte  Ah, sorte Eu não queria a juventude assim perdida Eu não queria andar morrendo pela vida Eu não queria amar assim Como eu te amei;PT-BR;https://api.vagalume.com.br/search.php?art= Taiguara &mus=Hoje&apikey=dc668952146a4a25b6d06586e7b69708;exact
Esmeralda;CarlosJosé;Esmeralda     Vestida de noiva, com véu e grinalda Lá vai esmeralda, casar na igreja Deus queira que os anjos não cantem pra ela E lá na capela seu vigário não esteja Deus queira que a noite, na hora da festa Não venha orquestra, não venha ninguém Pra ver Esmeralda, com véu e grinalda Nos braços de outro que não é seu bem Quem devia casar com ela, era eu, sim senhor Quem devia casar com ela, era eu, seu amor   Coral: Vestida de noiva, com véu e grinalda Lá vai esmeralda, casar na igreja Deus queira que os anjos não cantem pra ela E lá na capela seu vigário não esteja  Deus queira que a noite, na hora da festa Não venha orquestra, não venha ninguém Pra ver Esmeralda, com véu e grinalda Nos braços de outro que não é seu bem Quem devia casar com ela, era eu, sim senhor Quem devia casar com ela, era eu, seu amor;PT-BR;https://api.vagalume.com.br/search.php?art= Carlos Jose &mus=Esmeralda&apikey=dc668952146a4a25b6d06586e7b69708;exact
Ficacomigoessanoite;NelsonGonçalves;Fica comigo está noite E não te arrependerás Lá fora o frio é um açoite Calor aqui tu terás Terás meus beijos de amor Minhas carícias terás Fica comigo está noite E não te arrependerás Quero em teus braços querida Adormecer e sonhar Esquecer que nos deixamos Sem nos querermos deixar Tu ouvirás o que eu digo Eu ouvirei o que dizes Fica comigo está noite E então seremos felizes Quero em teus braços querida Adormecer e sonhar Esquecer que nos deixamos Sem nos querermos deixar Tu ouvirás o que eu digo E eu ouvirei o dizes Fica comigo está noite E então seremos felizes;PT-BR;https://api.vagalume.com.br/search.php?art= Nelson Goncalves &mus=Fica-comigo-essa-noite&apikey=dc668952146a4a25b6d06586e7b69708;GoogleSearch OK
Fazmerir;EdithVeiga;Como podes pensar que te quero? Como podes sonhar com o meu amor? Se uma vez eu te dei meu carinho E a tua ilusão, encheu-me de dor Não é dizer que eu sou vaidosa Mas, estou orgulhosa de ser. A mulher que outros homens pretendem E a ti não quero voltar a querer  Faz-me rir o que andas dizendo Que te adoro, que morro por ti Não te enganes dizendo mentiras Não te enganes, não te faças rir  Até parece impossível que um dia Foste o homem sonhado por mim Esta cínica farsa de agora Faz-me rir, ai...faz-me rir...;PT-BR;https://api.vagalume.com.br/search.php?art= Edith Veiga &mus=Faz-me-rir&apikey=dc668952146a4a25b6d06586e7b69708;aprox
RitmodeChuva;Demétrius;Olho para a chuva Que não quer cessar Nela vejo o meu amor Esta chuva ingrata Que não vai parar Pra aliviar a minha dor Eu sei que o meu amor Pra muito longe foi Numa chuva que caiu O gente por favor Pra ela vai voltar Que o meu coração se partiu Chuva traga o meu benzinho Pois preciso de carinho Diga a ela pra não Me deixar triste assim O ritimo dos pingos Ao cair no chão Só me deixa relembrar Tomara que eu não fique A esperar em vão Por ela que me faz chorar Chuva traga o meu benzinho Pois preciso de carinho Diga a ela pra não Me deixar triste assim O ritimo dos pingos Ao cair no chão Só me deixa relembrar Tomara que eu não fique A esperar em vão Por ela que me faz chorar Oh, chuva traga o meu amor Chuve, chuva traga o meu amor Ouça me chuva e traga o meu amor...;PT-BR;https://api.vagalume.com.br/search.php?art= Demetrius &mus=Ritmo-de-Chuva&apikey=dc668952146a4a25b6d06586e7b69708;GoogleSearch OK
VoltaPorCima;NoiteIlustrada;Chorei, não procurei esconder Todos viram, fingiram Pena de mim, não precisava Ali onde eu chorei Qualquer um chorava Dar a volta por cima que eu dei Quero ver quem dava Um homem de moral não fica no chão Nem quer que mulher Lhe Venha dar a mão Reconhece a queda e não desanima Levanta, sacode a poeira dá a volta por cima;PT-BR;https://api.vagalume.com.br/search.php?art= Noite Ilustrada &mus=Volta-Por-Cima&apikey=dc668952146a4a25b6d06586e7b69708;aprox
SentimentalDemais;AltemarDutra;Sentimental eu sou   Eu sou demais   Eu sei que sou assim  Porque assim ela me faz As músicas que eu Vivo a cantar Tem o sabor igual Por isso é que se diz Como ele é sentimental     Romântico é sonhar E eu sonho assim       Cantando estas canções  Para quem ama igual a mim  E quem achar alguém Como eu achei Verá que é natural Ficar como eu fiquei Cada vez mais        sentimental;PT-BR;https://api.vagalume.com.br/search.php?art= Altemar Dutra &mus=Sentimental-Demais&apikey=dc668952146a4a25b6d06586e7b69708;aprox
SáMarina;WilsonSimonal;Descendo a rua da ladeira Só quem viu,é que pode contar Cheirando a flor de laranjeira Sá Marina é vem pra dançar  De saia branca costumeira Gira o sol, que parou pra olhar Com seu jeitinho tão faceira Fez o povo inteiro cantar  Roda pela vida afora E põe pra fora esta alegria Dança que amanhece o dia prá se cantar Gira, que essa gente aflita Se agita e segue no seu passo Mostra toda essa poesia do olhar  Deixando versos na partida E só cantigas pra se cantar Naquela tarde de domingo Fez o povo inteiro chorar  E fez o povo inteiro chorar;PT-BR;https://api.vagalume.com.br/search.php?art= Wilson Simonal &mus=Sa-Marina&apikey=dc668952146a4a25b6d06586e7b69708;aprox
MulherDeTrinta;Miltinho;Você, mulher Que já viveu, que só sofreu Não minta Um triste adeus nos olhos seus A gente vê, Mulher de Trinta No meu olhar, na minha voz Um novo mundo, sinta É bom sonhar, sonhemos nós Eu e você, Mulher de Trinta Amanhã sempre vem Eo amanhã pode trazer alguém;PT-BR;https://api.vagalume.com.br/search.php?art= Miltinho &mus=Mulher-De-Trinta&apikey=dc668952146a4a25b6d06586e7b69708;exact
Estãovoltandoasflores;HelenadeLima;Vê, estão voltando as flores  Vê, nessa manhã tão linda             Vê, como é bonita a vida  Vê, há esperança ainda     Vê, as nuvens vão passando  Vê, um novo céu se abrindo   Vê, o sol iluminando  Por onde nos vamos indo.;PT-BR;https://api.vagalume.com.br/search.php?art= Helena de Lima &mus=Estao-voltando-as-flores&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Biquinidebolinhaamarelinha;RonnieCord;Ana Maria entrou na cabine                         E foi vestir um biquíni legal   Mas era tão pequenino o biquíni    Que Ana Maria sentindo-se mau Ai, ai, ai, mas ficou sensacional                     Era um biquíni de bolinha amarelinha tão pequinininho            Mau cabia na Ana Maria    Biquíni de bolinha amarelinha tão pequinininho       Que na palma da mão se escondia     Ana Maria toda envergonhada Não que sair da cabine assim    Ficou com medo que a rapaziada       Olhasse tudo por tim por tim Ai, ai, ai, a garota tá pra mim  Era um biquíni de bolinha amarelinha tão pequinininho  Mau cabia na Ana Maria    Biquíni de bolinha amarelinha tão pequinininho   Que na palma da mão se escondia       Ana Maria olhou-se no espelho                        E fosse quase despida afinal               Ficou com o rosto todinho vermelho       E escondeu o maiô no dedal   Acabou toda folia     Da mocinha da cabine                        Mas quem é que não queria Ver a moça no biquini;PT-BR;https://api.vagalume.com.br/search.php?art= Ronnie Cord &mus=Biquini-de-bolinha-amarelinha&apikey=dc668952146a4a25b6d06586e7b69708;aprox
ChoveChuva;JorgeBenJor;Chove chuva, chove sem parar, chove chuva, chove sem parar Pois eu vou fazer uma prece pra Deus nosso senhor,  Pra chuva parar de molhar o meu divino amor Que é muito lindo, é mais que o infinito, é puro e belo inocente como a flor Por favor chuva ruim, não molhe mais o meu amor assim;PT-BR;https://api.vagalume.com.br/search.php?art= Jorge Ben Jor &mus=Chove-Chuva&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Esqueça;RobertoCarlos;Esqueça se ele não te ama Esqueça se ele não te quer Não chore mais não sofra assim Porque posso te dar amor sem fim Ele não pensa em querer-te Te faz sofrer e até chorar Não chore mais vem pra mim, vem Não sofra, não pense Não chore mais meu bem;PT-BR;https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Esqueca&apikey=dc668952146a4a25b6d06586e7b69708;exact
APraça;RonnieVon;Hoje eu acordei com saudades de você Beijei aquela foto que você me ofertou Sentei naquele banco da pracinha só porque Foi lá que começou o nosso amor Senti que os passarinhos todos me reconheceram E eles entenderam toda minha solidão Ficaram tão tristonhos e até emudeceram Aí então eu fiz esta canção A mesma praça, o mesmo banco As mesmas flores, o mesmo jardim Tudo é igual, mas estou triste Porque não tenho você perto de mim Beijei aquela árvore tão linda onde eu Com meu canivete um coração eu desenhei Escrevi no coração meu nome junto ao seu Ser seu grande amor então jurei O guarda ainda é o mesmo que um dia me pegou Roubando uma rosa amarela pra você Ainda tem balanço, tem gangorra meu amor Crianças que não param de correr A mesma praça... Aquele bom velhinho pipoqueiro foi quem viu Quando envergonhado de namoro eu lhe falei Ainda é o mesmo sorveteiro que assistiu Ao primeiro beijo que eu lhe dei A gente vai crescendo, vai crescendo  E o tempo passa E nunca esquece a felicidade que encontrou Sempre eu vou lembrar do nosso banco Lá da praça Foi lá que começou o nosso amor;PT-BR;https://api.vagalume.com.br/search.php?art= Ronnie Von &mus=A-Praca&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Paistropical;WilsonSimonal;"Moro... Num país tropical, Abençoado por Deus E bonito por natureza (Mas que beleza!)  Em fevereiro (Em fevereiro) Tem carnaval (Tem carnaval) Eu tenho um fusca e um violão, Sou Flamengo e tenho uma nêga chamada Tereza  ""Sambaby"", ""Sambaby"" Sou um menino de mentalidade mediana (Pois é) Mas assim mesmo, feliz da vida pois eu não devo nada a ninguém (Pois é) Pois eu sou feliz, muito feliz comigo mesmo...  Moro... Num país tropical, Abençoado por Deus E bonito por natureza (Mas que beleza!)  Em fevereiro (Em fevereiro) Tem carnaval (Tem carnaval) Eu tenho um fusca e um violão, Sou Flamengo e tenho uma nêga chamada Tereza  ""Sambaby"", ""Sambaby"" Eu posso não ser um Band Leader (Pois é) Mas assim mesmo, lá em casa todos meus amigos, meus camaradinhas me respeitam (Pois é) Essa é a razão da simpatia, do poder do algo mais e da alegria...  Moro... Num país tropical, Abençoado por Deus E bonito por natureza (Mas que beleza!)  Em fevereiro (Em fevereiro) Tem carnaval (Tem carnaval) Eu tenho um fusca e um violão, Sou Flamengo e tenho uma nêga chamada Tereza...  ""Mor... No patropi, Abençoá por Dê E boni por naturê (Mas que Belê!)""  ""Em feverê (Em feverê) Tem carná (Tem carná) Eu tenho um fuca um vió Sou flamen e tenho uma nêga chamá Terê Do meu Brasil""";PT-BR;https://api.vagalume.com.br/search.php?art= Wilson Simonal &mus=Pais-tropical&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Meninamoça;TitoMadi;Você botão de rosa Amanhã na flor mulher Jóia preciosa cada um deseja e quer   De manhã banhada ao sol Vem o mar beijar Lua enciumada noite alta vai olhar  Você menina moça Mais menina que mulher Confissões não ouça Abra os olhos se puder  Tudo tem seu tempo certo Tempo para amar Coração aberto faz chorar  A lua, o sol, a praia, o mar Missão de Deus A vida eterna para amar;PT-BR;https://api.vagalume.com.br/search.php?art= Tito Madi &mus=Menina-moca&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Tudodemim;AltemarDutra;De que é feito afinal, Este teu coração, E que espécie de amor, Você deseja dar? Se me humilho demais, Me abaixo até o chão, E ainda fico a dever, Sem lhe contentar.            2 O que mais quer você? Se tudo já lhe dei, E o que resta de mim, Sorrindo te entreguei, Se do pranto do olhar, Nem mesmo tenho mais, Uma gota sequer, Para chorar!             3 Só minha vida, Eu não lhe dou! Como lhe dar? Se morto estou!?  Bisar 2 e 3;PT-BR;https://api.vagalume.com.br/search.php?art= Altemar Dutra &mus=Tudo-de-mim&apikey=dc668952146a4a25b6d06586e7b69708;aprox
OBomRapaz;WanderleyCardoso;Parece que eu sabia Que hoje era o dia de tudo terminar Pois logo notei Quando telefonei Pelo seu jeito de falar Eu nunca pensei Quem eu tanto amei Fosse assim me desprezar Mas o mundo é grande Vou não sei pra onde Alguém há de me amar Já que terminamos Só resta agora o adeus final Te amar demais ser um bom rapaz foi o meu mal;PT-BR;https://api.vagalume.com.br/search.php?art= Wanderley Cardoso &mus=O-Bom-Rapaz&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Marina;CaubiPeixoto;Marina,morena,Marina, Você se pintou, Marina, Você faça tudo,mas faça um favor, Não pinte esse rosto, Que eu gosto e que é só meu, Marina, Você já é bonita,com o que Deus lhe deu.  Me aborreci,me zanguei, Já não posso falar, E quando eu me zango, Marina,não sei perdoar.  Eu já desculpei muita coisa, Você não arranjava outra igual, Desculpe,Marina,morena, Mas eu estou de mal, De mal com você, De mal com você.;PT-BR;https://api.vagalume.com.br/search.php?art= Caubi Peixoto &mus=Marina&apikey=dc668952146a4a25b6d06586e7b69708;exact
SuaveéANoite;MoacyrFranco;É tão calma a noite A noite é de nós dois Ninguém amou assim Nem há de amar depois Quando o amanhã nos separar Em nossa lembrança hão de ficar Beijos de verão, ternuras de luar A brisa a murmurar sua canção Tudo tem suave encanto Quando a noite vem A noite é só nossa  No mundo não há mais ninguém  Beijos de verão, ternuras de luar A brisa a murmurar sua canção Tudo tem suave encanto Quando a noite vem A noite é só nossa No mundo não há mais ninguém;PT-BR;https://api.vagalume.com.br/search.php?art= Moacyr Franco &mus=Suave-e-A-Noite&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Dominique;Giane;Dominique, nique, nique, Sempre alegre esperando alguém que possa amar. O seu príncipe encantado, seu eterno namorado Que não cansa de esperar.  Dominique tem um sonho e alguém pode realizar. Há de vir um cavalheiro que a conduza para o altar.  Dominique, nique, nique, Sempre alegre esperando alguém que possa amar. O seu príncipe encantado,seu eterno namorado Que não cansa de esperar.  Certo dia de passagem na avenida alguém notou O doce olhar de Dominique e ela então se enamorou.  Dominique, nique, nique, Sempre alegre esperando alguém que possa amar. O seu príncipe encantado, seu eterno namorado Que não cansa de esperar.  O rapaz com um sorriso logo pediu sua mão E a visão do paraíso fez pulsar seu coração.  Dominique, nique, nique, Sempre alegre esperando alguém que possa amar. O seu príncipe encantado,seu eterno namorado Que não cansa de esperar.  Apesar da pouca idade, Dominique percebeu Que a maior felicidade foi o amor que Deus lhe deu.  Dominique, nique, nique, Sempre alegre esperando alguém que possa amar. O seu príncipe encantado, seu eterno namorado Que não cansa de esperar.  Mas o tempo foi passando e a verdade apareceu Pois quem vive só sonhando dessa vida se esqueceu.  Dominique, nique, nique, Sempre alegre esperando alguém que possa amar. O seu príncipe encantado, seu eterno namorado Que não cansa de esperar.  Uma lágrima caída a rolar dos olhos seus Numa tarde de Domingo o rapaz lhe disse adeus.  Dominique, nique, nique, Sempre triste a chorar o amor que se acabou. O seu príncipe encantado, seu eterno namorado Que se foi e não voltou.;PT-BR;https://api.vagalume.com.br/search.php?art= Giane &mus=Dominique&apikey=dc668952146a4a25b6d06586e7b69708;exact
HavaNagila;ChubbyChecker;Hava Nagila Hava Nagila, Hava Nagila Venismeja Hava Nagila, Hava Nagila, Hava Nagila Venismeja Hava neranena, Hava neranena Hava neranena, venismeja Hava neranena, Hava neranena Hava neranena, venismeja Uru uru ajim, uru ajim belev samea Uru ajim belev samea Uru ajim belev samea Uru ajiimm...! Uru ajiimm...! Belev samea...! Hava Nagila, Hava Nagila, Hava Nagila Venismeja...! Hava Nagila, Hava Nagila, Hava Nagila Venismeja Hava neranena, Hava neranena, Hava neranena... Venismeja Hava neranena, Hava neranena, Hava neranena. Venismeja. Uru uru, uru ajim belev samea Uru ajim belev samea Uru ajim belev samea Uru ajim, belev samea Uru ajim Uru ajim Venismeja...!;PT-BR;https://api.vagalume.com.br/search.php?art= Chubby Checker &mus=Hava-Nagila&apikey=dc668952146a4a25b6d06586e7b69708;GoogleSearch OK
Meubem;RonnieVon;Se você quiser ouvir então a minha história  Sobre alguém a quem eu muito amei  Só direi que ela deixou sua imagem ilusória  No meu coração que eu fechei    Ah! Meu bem  Meu bem    Ela foi um belo sonho  Que me fez ver tudo  O que sempre idealizei  Mas meu bem partiu  E hoje eu vivo triste e mudo  A buscá-la por onde eu andei   Ah! Meu bem Meu bem     Mesmo se eu sofrer ninguém virá me maldizer momento algum  Pois seu meigo olhar fará de novo o meu brilhar como nenhum,   hum! Hum! Hum! Meu bem  Meu bem  Nada existe que me dê qualquer prazer agora  Já que ela está longe de mim  Caso volte não a deixarei mais ir embora  Vou ficar com ela até o fim     Ah! Meu bem  Meu bem    By Eric Lopes;PT-BR;https://api.vagalume.com.br/search.php?art= Ronnie Von &mus=Meu-bem&apikey=dc668952146a4a25b6d06586e7b69708;aprox
