Music,Artist,Text,Language,Url,Search Status
RuaAugusta,RonnieCord,"['rua', 'augusta', 'ronnie', 'cord', 'entrei', 'rua', 'augusta', 'hora', 'botei', 'turma', 'toda', 'passeio', 'pra', 'fiz', 'curva', 'duas', 'rodas', 'usar', 'buzina', 'parei', 'quatro', 'dedos', 'vitrina', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfredo', 'quem', 'gang', 'medo', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfredo', 'quem', 'gang', 'medo', 'meu', 'carro', 'breque', 'luz', 'buzina', 'tem', 'três', 'carburadores', 'todos', 'três', 'envenenados', 'só', 'pára', 'subida', 'acaba', 'gasolina', 'só', 'passa', 'sinal', 'fechado', 'toquei', 'destino', 'cidade', 'no', 'anhangabaú', 'botei', 'velocidade', 'com', 'três', 'pneus', 'carecas', 'derrapando', 'raia', 'subi', 'galeria', 'prestes', 'maia', 'tremendão', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfredo', 'quem', 'gang', 'medo', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfredo', 'quem', 'gang', 'medo']",PT-BR,https://api.vagalume.com.br/search.php?art= Ronnie Cord &mus=Rua-Augusta&apikey=dc668952146a4a25b6d06586e7b69708,aprox
ABanda,NaraLeão,"['estava', 'toa', 'vida', 'amor', 'chamou', 'pra', 'ver', 'banda', 'passar', 'cantando', 'coisas', 'amor', 'gente', 'sofrida', 'despediu-se', 'dor', 'pra', 'ver', 'banda', 'passar', 'cantando', 'coisas', 'amor', 'o', 'homem', 'sério', 'contava', 'dinheiro', 'parou', 'o', 'faroleiro', 'contava', 'vantagem', 'parou', 'namorada', 'contava', 'estrelas', 'parou', 'para', 'ver', 'ouvir', 'dar', 'passagem', 'moça', 'triste', 'vivia', 'calada', 'sorriu', 'rosa', 'triste', 'vivia', 'fechada', 'abriu', 'meninada', 'toda', 'assanhou', 'pra', 'ver', 'banda', 'passar', 'cantando', 'coisas', 'amor', 'estribilho', 'o', 'velho', 'fraco', 'esqueceu', 'cansaço', 'pensou', 'que', 'ainda', 'moço', 'pra', 'sair', 'terraço', 'dançou', 'moça', 'feia', 'debruçou', 'janela', 'pensando', 'banda', 'tocava', 'pra', 'marcha', 'alegre', 'espalhou', 'avenida', 'insistiu', 'lua', 'cheia', 'vivia', 'escondida', 'surgiu', 'minha', 'cidade', 'toda', 'enfeitou', 'pra', 'ver', 'banda', 'passar', 'cantando', 'coisas', 'amor', 'ma', 'desencanto', 'doce', 'acabou', 'tudo', 'tomou', 'lugar', 'banda', 'passou', 'cada', 'canto', 'cada', 'canto', 'dor', 'depois', 'banda', 'passar', 'cantando', 'coisas', 'amor']",PT-BR,https://api.vagalume.com.br/search.php?art= Nara Leao &mus=A-Banda&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Baby,GalCosta,"['você', 'precisa', 'saber', 'piscina', 'da', 'margarina', 'da', 'carolina', 'da', 'gasolina', 'você', 'precisa', 'saber', 'mim', 'baby', 'baby', 'eu', 'sei', 'assim', 'você', 'precisa', 'tomar', 'sorvete', 'na', 'lanchonete', 'andar', 'gente', 'me', 'ver', 'perto', 'ouvir', 'canção', 'roberto', 'baby', 'baby', 'há', 'quanto', 'tempo', 'você', 'precisa', 'aprender', 'inglês', 'precisa', 'aprender', 'sei', 'sei', 'sei', 'não', 'sei', 'comigo', 'vai', 'tudo', 'azul', 'contigo', 'vai', 'tudo', 'paz', 'vivemos', 'melhor', 'cidade', 'da', 'américa', 'sul', 'da', 'américa', 'sul', 'você', 'precisa', 'você', 'precisa', 'não', 'sei', 'leia', 'camisa', 'baby', 'baby', 'i', 'love', 'you']",PT-BR,https://api.vagalume.com.br/search.php?art= Gal Costa &mus=Baby&apikey=dc668952146a4a25b6d06586e7b69708,exact
NamoradadeumAmigoMeu,RobertoCarlos,"['estou', 'amando', 'loucamente', 'namoradinha', 'amigo', 'sei', 'errado', 'ma', 'sei', 'aconteceu', 'um', 'dia', 'querer', 'olhei', 'olhar', 'disfarcei', 'pra', 'ninguém', 'notar', 'não', 'sei', 'faço', 'pra', 'ninguém', 'saber', 'gamado', 'assim', 'se', 'doi', 'souberem', 'nem', 'sei', 'vão', 'pensar', 'mim', 'eu', 'sei', 'vou', 'sofrer', 'esquecer', 'o', 'outros', 'deve', 'ter', 'vou', 'procurar', 'alguém', 'ninguém', 'poi', 'comigo', 'aconteceu', 'gostar', 'namorada', 'amigo']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Namorada-de-um-Amigo-Meu&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK
Hoje,Taiguara,"['hoje', 'trago', 'corpo', 'marcas', 'tempo', 'meu', 'desespero', 'vida', 'momento', 'fossa', 'fome', 'flor', 'fim', 'mundo', 'hoje', 'trago', 'olhar', 'imagens', 'distorcidas', 'core', 'viagens', 'mãos', 'desconhecidas', 'trazem', 'lua', 'rua', 'mãos', 'ma', 'hoje', 'a', 'mãos', 'enfraquecidas', 'vazias', 'procuram', 'nuas', 'luas', 'ruas', 'na', 'solidão', 'noites', 'frias', 'hoje', 'homens', 'medo', 'aportam', 'futuro', 'eu', 'medo', 'acordo', 'procuro', 'meu', 'quarto', 'escuro', 'inerte', 'morte', 'hoje', 'homens', 'aço', 'esperam', 'ciência', 'eu', 'desespero', 'abraço', 'ausência', 'que', 'resta', 'vivo', 'sorte', 'ah', 'sorte', 'eu', 'queria', 'juventude', 'assim', 'perdida', 'eu', 'queria', 'andar', 'morrendo', 'vida', 'eu', 'queria', 'amar', 'assim', 'como', 'amei']",PT-BR,https://api.vagalume.com.br/search.php?art= Taiguara &mus=Hoje&apikey=dc668952146a4a25b6d06586e7b69708,exact
Esmeralda,CarlosJosé,"['esmeralda', 'vestida', 'noiva', 'véu', 'grinalda', 'lá', 'vai', 'esmeralda', 'casar', 'igreja', 'deus', 'queira', 'anjos', 'cantem', 'pra', 'lá', 'capela', 'vigário', 'deus', 'queira', 'noite', 'hora', 'festa', 'não', 'venha', 'orquestra', 'venha', 'ninguém', 'pra', 'ver', 'esmeralda', 'véu', 'grinalda', 'no', 'braços', 'outro', 'bem', 'quem', 'devia', 'casar', 'sim', 'senhor', 'quem', 'devia', 'casar', 'amor', 'coral', 'vestida', 'noiva', 'véu', 'grinalda', 'lá', 'vai', 'esmeralda', 'casar', 'igreja', 'deus', 'queira', 'anjos', 'cantem', 'pra', 'lá', 'capela', 'vigário', 'deus', 'queira', 'noite', 'hora', 'festa', 'não', 'venha', 'orquestra', 'venha', 'ninguém', 'pra', 'ver', 'esmeralda', 'véu', 'grinalda', 'no', 'braços', 'outro', 'bem', 'quem', 'devia', 'casar', 'sim', 'senhor', 'quem', 'devia', 'casar', 'amor']",PT-BR,https://api.vagalume.com.br/search.php?art= Carlos Jose &mus=Esmeralda&apikey=dc668952146a4a25b6d06586e7b69708,exact
Ficacomigoessanoite,NelsonGonçalves,"['fica', 'comigo', 'noite', 'arrependerás', 'lá', 'frio', 'açoite', 'calor', 'aqui', 'terás', 'terás', 'beijos', 'amor', 'minhas', 'carícias', 'terás', 'fica', 'comigo', 'noite', 'arrependerás', 'quero', 'braços', 'querida', 'adormecer', 'sonhar', 'esquecer', 'deixamos', 'sem', 'querermos', 'deixar', 'tu', 'ouvirás', 'digo', 'eu', 'ouvirei', 'dizes', 'fica', 'comigo', 'noite', 'então', 'felizes', 'quero', 'braços', 'querida', 'adormecer', 'sonhar', 'esquecer', 'deixamos', 'sem', 'querermos', 'deixar', 'tu', 'ouvirás', 'digo', 'ouvirei', 'dizes', 'fica', 'comigo', 'noite', 'então', 'felizes']",PT-BR,https://api.vagalume.com.br/search.php?art= Nelson Goncalves &mus=Fica-comigo-essa-noite&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK
Fazmerir,EdithVeiga,"['como', 'podes', 'pensar', 'quero', 'como', 'podes', 'sonhar', 'amor', 'se', 'vez', 'dei', 'carinho', 'ilusão', 'encheu-me', 'dor', 'não', 'dizer', 'vaidosa', 'ma', 'orgulhosa', 'ser', 'mulher', 'outros', 'homens', 'pretendem', 'ti', 'quero', 'voltar', 'querer', 'faz-me', 'rir', 'andas', 'dizendo', 'que', 'adoro', 'morro', 'ti', 'não', 'enganes', 'dizendo', 'mentiras', 'não', 'enganes', 'faças', 'rir', 'até', 'parece', 'impossível', 'dia', 'foste', 'homem', 'sonhado', 'mim', 'esta', 'cínica', 'farsa', 'agora', 'faz-me', 'rir', 'ai', 'faz-me', 'rir']",PT-BR,https://api.vagalume.com.br/search.php?art= Edith Veiga &mus=Faz-me-rir&apikey=dc668952146a4a25b6d06586e7b69708,aprox
RitmodeChuva,Demétrius,"['olho', 'chuva', 'que', 'quer', 'cessar', 'nela', 'vejo', 'amor', 'esta', 'chuva', 'ingrata', 'que', 'vai', 'parar', 'pra', 'aliviar', 'dor', 'eu', 'sei', 'amor', 'pra', 'longe', 'numa', 'chuva', 'caiu', 'o', 'gente', 'favor', 'pra', 'vai', 'voltar', 'que', 'coração', 'partiu', 'chuva', 'traga', 'benzinho', 'poi', 'preciso', 'carinho', 'diga', 'pra', 'me', 'deixar', 'triste', 'assim', 'o', 'ritimo', 'pingos', 'ao', 'cair', 'chão', 'só', 'deixa', 'relembrar', 'tomara', 'fique', 'esperar', 'vão', 'por', 'faz', 'chorar', 'chuva', 'traga', 'benzinho', 'poi', 'preciso', 'carinho', 'diga', 'pra', 'me', 'deixar', 'triste', 'assim', 'o', 'ritimo', 'pingos', 'ao', 'cair', 'chão', 'só', 'deixa', 'relembrar', 'tomara', 'fique', 'esperar', 'vão', 'por', 'faz', 'chorar', 'oh', 'chuva', 'traga', 'amor', 'chuve', 'chuva', 'traga', 'amor', 'ouça', 'chuva', 'traga', 'amor']",PT-BR,https://api.vagalume.com.br/search.php?art= Demetrius &mus=Ritmo-de-Chuva&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK
VoltaPorCima,NoiteIlustrada,"['chorei', 'procurei', 'esconder', 'todos', 'viram', 'fingiram', 'pena', 'mim', 'precisava', 'ali', 'onde', 'chorei', 'qualquer', 'chorava', 'dar', 'volta', 'cima', 'dei', 'quero', 'ver', 'dava', 'um', 'homem', 'moral', 'fica', 'chão', 'nem', 'quer', 'mulher', 'lhe', 'venha', 'dar', 'mão', 'reconhece', 'queda', 'desanima', 'levanta', 'sacode', 'poeira', 'dá', 'volta', 'cima']",PT-BR,https://api.vagalume.com.br/search.php?art= Noite Ilustrada &mus=Volta-Por-Cima&apikey=dc668952146a4a25b6d06586e7b69708,aprox
SentimentalDemais,AltemarDutra,"['sentimental', 'eu', 'demais', 'eu', 'sei', 'assim', 'porque', 'assim', 'faz', 'a', 'músicas', 'vivo', 'cantar', 'tem', 'sabor', 'igual', 'por', 'diz', 'como', 'sentimental', 'romântico', 'sonhar', 'sonho', 'assim', 'cantando', 'canções', 'para', 'ama', 'igual', 'mim', 'achar', 'alguém', 'como', 'achei', 'verá', 'natural', 'ficar', 'fiquei', 'cada', 'vez', 'sentimental']",PT-BR,https://api.vagalume.com.br/search.php?art= Altemar Dutra &mus=Sentimental-Demais&apikey=dc668952146a4a25b6d06586e7b69708,aprox
SáMarina,WilsonSimonal,"['descendo', 'rua', 'ladeira', 'só', 'viu', 'pode', 'contar', 'cheirando', 'flor', 'laranjeira', 'sá', 'marina', 'vem', 'pra', 'dançar', 'de', 'saia', 'branca', 'costumeira', 'gira', 'sol', 'parou', 'pra', 'olhar', 'com', 'jeitinho', 'tão', 'faceira', 'fez', 'povo', 'inteiro', 'cantar', 'roda', 'vida', 'afora', 'põe', 'pra', 'alegria', 'dança', 'amanhece', 'dia', 'prá', 'cantar', 'gira', 'gente', 'aflita', 'se', 'agita', 'segue', 'passo', 'mostra', 'toda', 'poesia', 'olhar', 'deixando', 'verso', 'partida', 'cantigas', 'pra', 'cantar', 'naquela', 'tarde', 'domingo', 'fez', 'povo', 'inteiro', 'chorar', 'fez', 'povo', 'inteiro', 'chorar']",PT-BR,https://api.vagalume.com.br/search.php?art= Wilson Simonal &mus=Sa-Marina&apikey=dc668952146a4a25b6d06586e7b69708,aprox
MulherDeTrinta,Miltinho,"['você', 'mulher', 'que', 'viveu', 'sofreu', 'não', 'minta', 'um', 'triste', 'adeus', 'olhos', 'gente', 'vê', 'mulher', 'trinta', 'no', 'olhar', 'voz', 'um', 'novo', 'mundo', 'sinta', 'é', 'bom', 'sonhar', 'sonhemos', 'eu', 'mulher', 'trinta', 'amanhã', 'sempre', 'vem', 'eo', 'amanhã', 'pode', 'trazer', 'alguém']",PT-BR,https://api.vagalume.com.br/search.php?art= Miltinho &mus=Mulher-De-Trinta&apikey=dc668952146a4a25b6d06586e7b69708,exact
Estãovoltandoasflores,HelenadeLima,"['vê', 'voltando', 'flores', 'vê', 'nessa', 'manhã', 'tão', 'linda', 'vê', 'bonita', 'vida', 'vê', 'esperança', 'ainda', 'vê', 'nuvens', 'vão', 'passando', 'vê', 'novo', 'céu', 'abrindo', 'vê', 'sol', 'iluminando', 'por', 'onde', 'vamos', 'indo']",PT-BR,https://api.vagalume.com.br/search.php?art= Helena de Lima &mus=Estao-voltando-as-flores&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Biquinidebolinhaamarelinha,RonnieCord,"['ana', 'maria', 'entrou', 'cabine', 'vestir', 'biquíni', 'legal', 'ma', 'tão', 'pequenino', 'biquíni', 'que', 'ana', 'maria', 'sentindo-se', 'mau', 'ai', 'ai', 'ai', 'ficou', 'sensacional', 'era', 'biquíni', 'bolinha', 'amarelinha', 'tão', 'pequinininho', 'mau', 'cabia', 'ana', 'maria', 'biquíni', 'bolinha', 'amarelinha', 'tão', 'pequinininho', 'que', 'palma', 'mão', 'escondia', 'ana', 'maria', 'toda', 'envergonhada', 'não', 'sair', 'cabine', 'assim', 'ficou', 'medo', 'rapaziada', 'olhasse', 'tudo', 'tim', 'tim', 'ai', 'ai', 'ai', 'garota', 'tá', 'pra', 'mim', 'era', 'biquíni', 'bolinha', 'amarelinha', 'tão', 'pequinininho', 'mau', 'cabia', 'ana', 'maria', 'biquíni', 'bolinha', 'amarelinha', 'tão', 'pequinininho', 'que', 'palma', 'mão', 'escondia', 'ana', 'maria', 'olhou-se', 'espelho', 'quase', 'despida', 'afinal', 'ficou', 'rosto', 'todinho', 'vermelho', 'escondeu', 'maiô', 'dedal', 'acabou', 'toda', 'folium', 'da', 'mocinha', 'cabine', 'ma', 'queria', 'ver', 'moça', 'biquini']",PT-BR,https://api.vagalume.com.br/search.php?art= Ronnie Cord &mus=Biquini-de-bolinha-amarelinha&apikey=dc668952146a4a25b6d06586e7b69708,aprox
ChoveChuva,JorgeBenJor,"['chove', 'chuva', 'chove', 'parar', 'chove', 'chuva', 'chove', 'parar', 'poi', 'vou', 'fazer', 'prece', 'pra', 'deus', 'senhor', 'pra', 'chuva', 'parar', 'molhar', 'divino', 'amor', 'que', 'lindo', 'infinito', 'puro', 'belo', 'inocente', 'flor', 'por', 'favor', 'chuva', 'ruim', 'molhe', 'amor', 'assim']",PT-BR,https://api.vagalume.com.br/search.php?art= Jorge Ben Jor &mus=Chove-Chuva&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Esqueça,RobertoCarlos,"['esqueça', 'ama', 'esqueça', 'quer', 'não', 'chore', 'sofra', 'assim', 'porque', 'posso', 'dar', 'amor', 'fim', 'ele', 'pensa', 'querer-te', 'te', 'faz', 'sofrer', 'chorar', 'não', 'chore', 'vem', 'pra', 'mim', 'vem', 'não', 'sofra', 'pense', 'não', 'chore', 'bem']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Esqueca&apikey=dc668952146a4a25b6d06586e7b69708,exact
