Music,Artist,Text,Language,Url,Search Status
RuaAugusta,RonnieCord,"['rua', 'august', 'ronni', 'cord', 'entr', 'rua', 'august', 'hor', 'bot', 'turm', 'tod', 'passei', 'pra', 'fiz', 'curv', 'dua', 'rod', 'us', 'buzin', 'par', 'quatr', 'ded', 'vitrin', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfred', 'gang', 'med', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfred', 'gang', 'med', 'carr', 'brequ', 'luz', 'buzin', 'trê', 'carbur', 'tod', 'trê', 'envenen', 'pár', 'sub', 'acab', 'gasolin', 'pass', 'sinal', 'fech', 'toq', 'destin', 'cidad', 'anhangabaú', 'bot', 'veloc', 'trê', 'pneu', 'carec', 'derrap', 'rai', 'sub', 'gal', 'prest', 'mai', 'tremend', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfred', 'gang', 'med', 'hay', 'hay', 'johnny', 'hay', 'hay', 'alfred', 'gang', 'med']",PT-BR,https://api.vagalume.com.br/search.php?art= Ronnie Cord &mus=Rua-Augusta&apikey=dc668952146a4a25b6d06586e7b69708,aprox
ABanda,NaraLeão,"['toa', 'vid', 'am', 'cham', 'pra', 'ver', 'band', 'pass', 'cant', 'cois', 'am', 'gent', 'sofr', 'despediu-s', 'dor', 'pra', 'ver', 'band', 'pass', 'cant', 'cois', 'am', 'hom', 'séri', 'cont', 'dinh', 'par', 'farol', 'cont', 'vantag', 'par', 'namor', 'cont', 'estrel', 'par', 'ver', 'ouv', 'dar', 'pass', 'moç', 'trist', 'viv', 'cal', 'sorr', 'ros', 'trist', 'viv', 'fech', 'abr', 'menin', 'tod', 'assanh', 'pra', 'ver', 'band', 'pass', 'cant', 'cois', 'am', 'estribilh', 'velh', 'frac', 'esquec', 'cans', 'pens', 'aind', 'moç', 'pra', 'sair', 'terr', 'danç', 'moç', 'fei', 'debruç', 'janel', 'pens', 'band', 'toc', 'pra', 'march', 'alegr', 'espalh', 'aven', 'insist', 'lua', 'chei', 'viv', 'escond', 'surg', 'cidad', 'tod', 'enfeit', 'pra', 'ver', 'band', 'pass', 'cant', 'cois', 'am', 'desencant', 'doc', 'acab', 'tud', 'tom', 'lug', 'band', 'pass', 'cad', 'cant', 'cad', 'cant', 'dor', 'band', 'pass', 'cant', 'cois', 'am']",PT-BR,https://api.vagalume.com.br/search.php?art= Nara Leao &mus=A-Banda&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Baby,GalCosta,"['precis', 'sab', 'piscin', 'margarin', 'carolin', 'gasolin', 'precis', 'sab', 'mim', 'baby', 'baby', 'sei', 'assim', 'precis', 'tom', 'sorvet', 'lanchonet', 'and', 'gent', 'ver', 'pert', 'ouv', 'cançã', 'robert', 'baby', 'baby', 'quant', 'temp', 'precis', 'aprend', 'ingl', 'precis', 'aprend', 'sei', 'sei', 'sei', 'sei', 'comig', 'vai', 'tud', 'azul', 'contig', 'vai', 'tud', 'paz', 'viv', 'melhor', 'cidad', 'amér', 'sul', 'amér', 'sul', 'precis', 'precis', 'sei', 'lei', 'camis', 'baby', 'baby', 'i', 'lov', 'you']",PT-BR,https://api.vagalume.com.br/search.php?art= Gal Costa &mus=Baby&apikey=dc668952146a4a25b6d06586e7b69708,exact
NamoradadeumAmigoMeu,RobertoCarlos,"['am', 'louc', 'nam', 'amig', 'sei', 'err', 'sei', 'acontec', 'dia', 'quer', 'olh', 'olh', 'disfarc', 'pra', 'ninguém', 'not', 'sei', 'faç', 'pra', 'ninguém', 'sab', 'gam', 'assim', 'doi', 'soub', 'sei', 'vão', 'pens', 'mim', 'sei', 'vou', 'sofr', 'esquec', 'outr', 'dev', 'ter', 'vou', 'procur', 'alguém', 'ninguém', 'poi', 'comig', 'acontec', 'gost', 'namor', 'amig']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Namorada-de-um-Amigo-Meu&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK
Hoje,Taiguara,"['hoj', 'trag', 'corp', 'marc', 'temp', 'desesper', 'vid', 'moment', 'foss', 'fom', 'fl', 'fim', 'mund', 'hoj', 'trag', 'olh', 'imag', 'distorc', 'cor', 'viag', 'mão', 'desconhec', 'traz', 'lua', 'rua', 'mão', 'hoj', 'mão', 'enfraquec', 'vaz', 'procur', 'nua', 'lua', 'rua', 'solid', 'noit', 'fri', 'hoj', 'hom', 'med', 'aport', 'futur', 'med', 'acord', 'procur', 'quart', 'escur', 'inert', 'mort', 'hoj', 'hom', 'aço', 'esp', 'ciênc', 'desesper', 'abraç', 'aus', 'rest', 'viv', 'sort', 'ah', 'sort', 'quer', 'juventud', 'assim', 'perd', 'quer', 'and', 'morr', 'vid', 'quer', 'am', 'assim', 'ame']",PT-BR,https://api.vagalume.com.br/search.php?art= Taiguara &mus=Hoje&apikey=dc668952146a4a25b6d06586e7b69708,exact
Esmeralda,CarlosJosé,"['esmerald', 'vest', 'noiv', 'véu', 'grinald', 'lá', 'vai', 'esmerald', 'cas', 'igrej', 'deu', 'que', 'anj', 'cant', 'pra', 'lá', 'capel', 'vig', 'deu', 'que', 'noit', 'hor', 'fest', 'venh', 'orquestr', 'venh', 'ninguém', 'pra', 'ver', 'esmerald', 'véu', 'grinald', 'braç', 'outr', 'bem', 'dev', 'cas', 'sim', 'senh', 'dev', 'cas', 'am', 'coral', 'vest', 'noiv', 'véu', 'grinald', 'lá', 'vai', 'esmerald', 'cas', 'igrej', 'deu', 'que', 'anj', 'cant', 'pra', 'lá', 'capel', 'vig', 'deu', 'que', 'noit', 'hor', 'fest', 'venh', 'orquestr', 'venh', 'ninguém', 'pra', 'ver', 'esmerald', 'véu', 'grinald', 'braç', 'outr', 'bem', 'dev', 'cas', 'sim', 'senh', 'dev', 'cas', 'am']",PT-BR,https://api.vagalume.com.br/search.php?art= Carlos Jose &mus=Esmeralda&apikey=dc668952146a4a25b6d06586e7b69708,exact
Ficacomigoessanoite,NelsonGonçalves,"['fic', 'comig', 'noit', 'arrepend', 'lá', 'fri', 'açoit', 'cal', 'aqu', 'ter', 'ter', 'beij', 'am', 'caríc', 'ter', 'fic', 'comig', 'noit', 'arrepend', 'quer', 'braç', 'quer', 'adormec', 'sonh', 'esquec', 'deix', 'quer', 'deix', 'ouvir', 'dig', 'ouv', 'diz', 'fic', 'comig', 'noit', 'ent', 'feliz', 'quer', 'braç', 'quer', 'adormec', 'sonh', 'esquec', 'deix', 'quer', 'deix', 'ouvir', 'dig', 'ouv', 'diz', 'fic', 'comig', 'noit', 'ent', 'feliz']",PT-BR,https://api.vagalume.com.br/search.php?art= Nelson Goncalves &mus=Fica-comigo-essa-noite&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK
Fazmerir,EdithVeiga,"['pod', 'pens', 'quer', 'pod', 'sonh', 'am', 'vez', 'dei', 'car', 'ilusã', 'encheu-m', 'dor', 'diz', 'vaid', 'orgulh', 'ser', 'mulh', 'outr', 'hom', 'pretend', 'ti', 'quer', 'volt', 'quer', 'faz-m', 'rir', 'and', 'diz', 'ador', 'morr', 'ti', 'engan', 'diz', 'ment', 'engan', 'faç', 'rir', 'parec', 'imposs', 'dia', 'fost', 'hom', 'sonh', 'mim', 'cínic', 'fars', 'agor', 'faz-m', 'rir', 'ai', 'faz-m', 'rir']",PT-BR,https://api.vagalume.com.br/search.php?art= Edith Veiga &mus=Faz-me-rir&apikey=dc668952146a4a25b6d06586e7b69708,aprox
RitmodeChuva,Demétrius,"['olh', 'chuv', 'qu', 'cess', 'nel', 'vej', 'am', 'chuv', 'ingrat', 'vai', 'par', 'pra', 'alivi', 'dor', 'sei', 'am', 'pra', 'long', 'chuv', 'caiu', 'gent', 'favor', 'pra', 'vai', 'volt', 'coraçã', 'part', 'chuv', 'trag', 'ben', 'poi', 'precis', 'car', 'dig', 'pra', 'deix', 'trist', 'assim', 'rit', 'ping', 'cair', 'chã', 'deix', 'relembr', 'tom', 'fiqu', 'esper', 'vão', 'faz', 'chor', 'chuv', 'trag', 'ben', 'poi', 'precis', 'car', 'dig', 'pra', 'deix', 'trist', 'assim', 'rit', 'ping', 'cair', 'chã', 'deix', 'relembr', 'tom', 'fiqu', 'esper', 'vão', 'faz', 'chor', 'oh', 'chuv', 'trag', 'am', 'chuv', 'chuv', 'trag', 'am', 'ouç', 'chuv', 'trag', 'am']",PT-BR,https://api.vagalume.com.br/search.php?art= Demetrius &mus=Ritmo-de-Chuva&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK
VoltaPorCima,NoiteIlustrada,"['chor', 'procur', 'escond', 'tod', 'vir', 'fing', 'pen', 'mim', 'precis', 'ali', 'ond', 'chor', 'qualqu', 'chor', 'dar', 'volt', 'cim', 'dei', 'quer', 'ver', 'dav', 'hom', 'moral', 'fic', 'chã', 'qu', 'mulh', 'venh', 'dar', 'mão', 'reconhec', 'qued', 'desan', 'levant', 'sacod', 'poe', 'dá', 'volt', 'cim']",PT-BR,https://api.vagalume.com.br/search.php?art= Noite Ilustrada &mus=Volta-Por-Cima&apikey=dc668952146a4a25b6d06586e7b69708,aprox
SentimentalDemais,AltemarDutra,"['sentiment', 'demal', 'sei', 'assim', 'porqu', 'assim', 'faz', 'músic', 'viv', 'cant', 'sab', 'igual', 'diz', 'sentiment', 'român', 'sonh', 'sonh', 'assim', 'cant', 'cançã', 'ama', 'igual', 'mim', 'ach', 'alguém', 'ach', 'ver', 'natur', 'fic', 'fiq', 'cad', 'vez', 'sentiment']",PT-BR,https://api.vagalume.com.br/search.php?art= Altemar Dutra &mus=Sentimental-Demais&apikey=dc668952146a4a25b6d06586e7b69708,aprox
SáMarina,WilsonSimonal,"['desc', 'rua', 'lad', 'viu', 'pod', 'cont', 'cheir', 'fl', 'laranj', 'sá', 'marin', 'vem', 'pra', 'danç', 'sai', 'branc', 'costum', 'gir', 'sol', 'par', 'pra', 'olh', 'jeit', 'tão', 'fac', 'fez', 'pov', 'int', 'cant', 'rod', 'vid', 'afor', 'põe', 'pra', 'alegr', 'danç', 'amanhec', 'dia', 'prá', 'cant', 'gir', 'gent', 'aflit', 'agit', 'seg', 'pass', 'mostr', 'tod', 'poes', 'olh', 'deix', 'vers', 'part', 'cantig', 'pra', 'cant', 'naquel', 'tard', 'doming', 'fez', 'pov', 'int', 'chor', 'fez', 'pov', 'int', 'chor']",PT-BR,https://api.vagalume.com.br/search.php?art= Wilson Simonal &mus=Sa-Marina&apikey=dc668952146a4a25b6d06586e7b69708,aprox
MulherDeTrinta,Miltinho,"['mulh', 'viv', 'sofr', 'mint', 'trist', 'adeu', 'olh', 'gent', 'vê', 'mulh', 'trint', 'olh', 'voz', 'nov', 'mund', 'sint', 'bom', 'sonh', 'sonh', 'mulh', 'trint', 'amanhã', 'sempr', 'vem', 'eo', 'amanhã', 'pod', 'traz', 'alguém']",PT-BR,https://api.vagalume.com.br/search.php?art= Miltinho &mus=Mulher-De-Trinta&apikey=dc668952146a4a25b6d06586e7b69708,exact
Estãovoltandoasflores,HelenadeLima,"['vê', 'volt', 'fl', 'vê', 'ness', 'manhã', 'tão', 'lind', 'vê', 'bonit', 'vid', 'vê', 'esperanç', 'aind', 'vê', 'nuv', 'vão', 'pass', 'vê', 'nov', 'céu', 'abr', 'vê', 'sol', 'ilumin', 'ond', 'vam', 'ind']",PT-BR,https://api.vagalume.com.br/search.php?art= Helena de Lima &mus=Estao-voltando-as-flores&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Biquinidebolinhaamarelinha,RonnieCord,"['ana', 'mar', 'entr', 'cabin', 'vest', 'biquín', 'legal', 'tão', 'pequenin', 'biquín', 'ana', 'mar', 'sentindo-s', 'mau', 'ai', 'ai', 'ai', 'fic', 'sensac', 'biquín', 'bol', 'amarel', 'tão', 'pequinin', 'mau', 'cab', 'ana', 'mar', 'biquín', 'bol', 'amarel', 'tão', 'pequinin', 'palm', 'mão', 'escond', 'ana', 'mar', 'tod', 'envergonh', 'sair', 'cabin', 'assim', 'fic', 'med', 'rapazi', 'olh', 'tud', 'tim', 'tim', 'ai', 'ai', 'ai', 'garot', 'tá', 'pra', 'mim', 'biquín', 'bol', 'amarel', 'tão', 'pequinin', 'mau', 'cab', 'ana', 'mar', 'biquín', 'bol', 'amarel', 'tão', 'pequinin', 'palm', 'mão', 'escond', 'ana', 'mar', 'olhou-s', 'espelh', 'quas', 'desp', 'afinal', 'fic', 'rost', 'tod', 'vermelh', 'escond', 'maiô', 'dedal', 'acab', 'tod', 'fol', 'moc', 'cabin', 'quer', 'ver', 'moç', 'biquin']",PT-BR,https://api.vagalume.com.br/search.php?art= Ronnie Cord &mus=Biquini-de-bolinha-amarelinha&apikey=dc668952146a4a25b6d06586e7b69708,aprox
ChoveChuva,JorgeBenJor,"['chov', 'chuv', 'chov', 'par', 'chov', 'chuv', 'chov', 'par', 'poi', 'vou', 'faz', 'prec', 'pra', 'deu', 'senh', 'pra', 'chuv', 'par', 'molh', 'divin', 'am', 'lind', 'infinit', 'pur', 'bel', 'inoc', 'fl', 'favor', 'chuv', 'ruim', 'molh', 'am', 'assim']",PT-BR,https://api.vagalume.com.br/search.php?art= Jorge Ben Jor &mus=Chove-Chuva&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Esqueça,RobertoCarlos,"['esqueç', 'ama', 'esqueç', 'qu', 'chor', 'sofr', 'assim', 'porqu', 'poss', 'dar', 'am', 'fim', 'pens', 'querer-t', 'faz', 'sofr', 'chor', 'chor', 'vem', 'pra', 'mim', 'vem', 'sofr', 'pens', 'chor', 'bem']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Esqueca&apikey=dc668952146a4a25b6d06586e7b69708,exact
APraça,RonnieVon,"['hoj', 'acord', 'saudad', 'beij', 'fot', 'ofert', 'sent', 'naquel', 'banc', 'prac', 'porqu', 'lá', 'começ', 'am', 'sent', 'pass', 'tod', 'reconhec', 'entend', 'tod', 'solid', 'fic', 'tão', 'tristonh', 'emudec', 'aí', 'ent', 'fiz', 'cançã', 'mesm', 'praç', 'banc', 'mesm', 'fl', 'jardim', 'tud', 'igual', 'trist', 'porqu', 'pert', 'mim', 'beij', 'árvor', 'tão', 'lind', 'ond', 'canivet', 'coraçã', 'desenh', 'escrev', 'coraçã', 'nom', 'junt', 'ser', 'grand', 'am', 'ent', 'jur', 'guard', 'aind', 'dia', 'peg', 'roub', 'ros', 'amarel', 'pra', 'aind', 'balanç', 'gangorr', 'am', 'crianç', 'par', 'corr', 'mesm', 'praç', 'bom', 'velh', 'pipoc', 'viu', 'envergonh', 'namor', 'fal', 'aind', 'sorvet', 'assist', 'prim', 'beij', 'dei', 'gent', 'vai', 'cresc', 'vai', 'cresc', 'temp', 'pass', 'nunc', 'esquec', 'felic', 'encontr', 'sempr', 'vou', 'lembr', 'banc', 'lá', 'praç', 'lá', 'começ', 'am']",PT-BR,https://api.vagalume.com.br/search.php?art= Ronnie Von &mus=A-Praca&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Paistropical,WilsonSimonal,"['mor', 'país', 'tropic', 'abenço', 'deu', 'bonit', 'natur', 'bel', 'fever', 'fever', 'carnav', 'carnav', 'fusc', 'viol', 'flameng', 'nêg', 'cham', 'ter', 'sambaby', 'sambaby', 'menin', 'mental', 'medi', 'poi', 'assim', 'feliz', 'vid', 'poi', 'dev', 'nad', 'ninguém', 'poi', 'poi', 'feliz', 'feliz', 'comig', 'mor', 'país', 'tropic', 'abenço', 'deu', 'bonit', 'natur', 'bel', 'fever', 'fever', 'carnav', 'carnav', 'fusc', 'viol', 'flameng', 'nêg', 'cham', 'ter', 'sambaby', 'sambaby', 'poss', 'ser', 'band', 'lead', 'poi', 'assim', 'lá', 'cas', 'tod', 'amig', 'cam', 'respeit', 'poi', 'ra', 'simpat', 'pod', 'alg', 'alegr', 'mor', 'país', 'tropic', 'abenço', 'deu', 'bonit', 'natur', 'bel', 'fever', 'fever', 'carnav', 'carnav', 'fusc', 'viol', 'flameng', 'nêg', 'cham', 'ter', 'mor', 'patrop', 'abenço', 'dê', 'bon', 'natur', 'bel', 'fever', 'fever', 'carn', 'carn', 'fuc', 'vió', 'flamen', 'nêg', 'cham', 'ter', 'brasil']",PT-BR,https://api.vagalume.com.br/search.php?art= Wilson Simonal &mus=Pais-tropical&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Meninamoça,TitoMadi,"['bot', 'ros', 'amanhã', 'fl', 'mulh', 'jói', 'precios', 'cad', 'desej', 'qu', 'manhã', 'banh', 'sol', 'vem', 'mar', 'beij', 'lua', 'encium', 'noit', 'alt', 'vai', 'olh', 'menin', 'moç', 'menin', 'mulh', 'confiss', 'ouç', 'abr', 'olh', 'pud', 'tud', 'temp', 'cert', 'temp', 'am', 'coraçã', 'abert', 'faz', 'chor', 'lua', 'sol', 'prai', 'mar', 'miss', 'deu', 'vid', 'etern', 'am']",PT-BR,https://api.vagalume.com.br/search.php?art= Tito Madi &mus=Menina-moca&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Tudodemim,AltemarDutra,"['feit', 'afinal', 'coraçã', 'espéci', 'am', 'desej', 'dar', 'humilh', 'demal', 'abaix', 'chã', 'aind', 'fic', 'dev', 'content', 'qu', 'tud', 'dei', 'rest', 'mim', 'sorr', 'entreg', 'prant', 'olh', 'got', 'sequ', 'chor', 'vid', 'dou', 'dar', 'mort', 'bis']",PT-BR,https://api.vagalume.com.br/search.php?art= Altemar Dutra &mus=Tudo-de-mim&apikey=dc668952146a4a25b6d06586e7b69708,aprox
OBomRapaz,WanderleyCardoso,"['parec', 'sab', 'hoj', 'dia', 'tud', 'termin', 'poi', 'log', 'not', 'telefon', 'jeit', 'fal', 'nunc', 'pens', 'tant', 'ame', 'assim', 'desprez', 'mund', 'grand', 'vou', 'sei', 'pra', 'ond', 'alguém', 'am', 'termin', 'rest', 'agor', 'adeu', 'final', 'am', 'demal', 'ser', 'bom', 'rapaz', 'mal']",PT-BR,https://api.vagalume.com.br/search.php?art= Wanderley Cardoso &mus=O-Bom-Rapaz&apikey=dc668952146a4a25b6d06586e7b69708,aprox
