Music,Artist,Text,Language,Url,Search Status,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
LiberarGeral,TerraSamba,"['nad', 'mal', 'curt', 'terrasamb', 'nad', 'mal', 'legal', 'entr', 'clim', 'liber', 'geral', 'nad', 'mal', 'curt', 'terrasamb', 'nad', 'mal', 'legal', 'entr', 'clim', 'liber', 'geral', 'vira-e-mex', 'noit', 'int', 'ôh', 'ôh', 'ôh', 'mei', 'lad', 'pra', 'lavant', 'poe', 'ah', 'ah', 'perd', 'estrib', 'vira-e-mex', 'noit', 'int', 'ôh', 'ôh', 'ôh', 'mei', 'lad', 'pra', 'lavant', 'poe', 'ah', 'ah', 'perd', 'estrib', 'terr', 'samb', 'assim', 'swing', 'swing', 'prá', 'prá', 'mim', 'excit', 'corp', 'ra', 'exist', 'samb', 'samb', 'quer', 'fic', 'terr', 'samb', 'assim', 'swing', 'swing', 'prá', 'prá', 'mim', 'excit', 'corp', 'ra', 'exist', 'samb', 'samb', 'quer', 'fic', '__________________________________________']",PT-BR,https://api.vagalume.com.br/search.php?art= Terra Samba &mus=Liberar-Geral&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
EstouApaixonado,JoãoPauloeDaniel,"['quer', 'beb', 'mel', 'boc', 'abelh', 'rainh', 'quer', 'escrev', 'are', 'histór', 'junt', 'acord', 'doc', 'guit', 'toc', 'not', 'pens', 'cad', 'vers', 'traduz', 'fibr', 'sent', 'apaixon', 'am', 'tão', 'grand', 'apaixon', 'pens', 'tod', 'instant', 'quer', 'ser', 'ar', 'resp', 'quer', 'ser', 'pão', 'aliment', 'quer', 'ser', 'águ', 'refresc', 'vinh', 'esquent', 'cair', 'cai', 'abraç', 'morr', 'morr', 'desej', 'adormec', 'diz', 'amo', 'acord', 'beij', 'apaixon', 'am', 'tão', 'grand', 'apaixon', 'pens', 'tod', 'instant', 'quer', 'sair', 'contig', 'noit', 'enluar', 'doi', 'adolesc', 'madrug', 'pra', 'viv', 'vid', 'pens', 'nad', 'apaixon', 'am', 'tão', 'grand', 'apaixon', 'pens', 'tod', 'instant']",PT-BR,https://api.vagalume.com.br/search.php?art= Joao Paulo e Daniel &mus=Estou-Apaixonado&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Ocantodacidade,DanielaMercury,"['cor', 'dess', 'cidad', 'cant', 'dess', 'cidad', 'cor', 'dess', 'cidad', 'cant', 'dess', 'cidad', 'guet', 'rua', 'fé', 'vou', 'and', 'pé', 'cidad', 'bonit', 'toqu', 'afoxé', 'forç', 'ond', 'vem', 'ninguém', 'explic', 'bonit', 'guet', 'rua', 'fé', 'vou', 'and', 'pé', 'cidad', 'bonit', 'toqu', 'afoxé', 'forç', 'ond', 'vem', 'ninguém', 'explic', 'bonit', 'uô', 'ô', 'verd', 'am', 'uô', 'ô', 'vai', 'ond', 'vou', 'uô', 'ô', 'verd', 'am', 'uô', 'ô', 'vai', 'ond', 'vou', 'dig', 'qu', 'dig', 'qu', 'silênci', 'noit', 'sol', 'manhã', 'mil', 'volt', 'mund', 'pont', 'final', 'prim', 'cant', 'carnav', 'cor', 'dess', 'cidad', 'cant', 'dess', 'cidad', 'cor', 'dess', 'cidad', 'cant', 'dess', 'cidad', 'dig', 'qu', 'dig', 'qu', 'silênci', 'noit', 'sol', 'manhã', 'mil', 'volt', 'mund', 'pont', 'final', 'prim', 'cant', 'carnav', 'uô', 'ô', 'verd', 'am', 'uô', 'ô', 'vai', 'ond', 'vou', 'uô', 'ô', 'verd', 'am', 'uô', 'ô', 'vai', 'ond', 'vou', 'cor', 'dess', 'cidad', 'cant', 'dess', 'cidad', 'cor', 'dess', 'cidad', 'cant', 'dess', 'cidad']",PT-BR,https://api.vagalume.com.br/search.php?art= Daniela Mercury &mus=O-canto-da-cidade&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
ÉoAmor,ZezéDiCamargoeLuciano,"['vou', 'neg', 'louc', 'tô', 'maluc', 'pra', 'ver', 'vou', 'neg', 'vou', 'neg', 'tud', 'saudad', 'traz', 'felic', 'vou', 'neg', '*', 'vou', 'neg', 'doc', 'mel', 'pedac', 'céu', 'vou', 'neg', 'doc', 'am', 'alegr', 'cont', 'fad', 'fantas', 'paz', 'precis', 'pra', 'sobreviv', 'apaixon', 'alm', 'transpar', 'louc', 'alucin', 'mei', 'inconsequ', 'cas', 'complic', 'entend', 'am', 'mex', 'cabeç', 'deix', 'assim', 'faz', 'pens', 'esquec', 'mim', 'faz', 'esquec', 'vid', 'feit', 'pra', 'viv', 'am', 'vei', 'tir', 'cert', 'coraçã', 'derrub', 'bas', 'fort', 'paix', 'fez', 'entend', 'vid', 'nad', '*', 'repet']",PT-BR,https://api.vagalume.com.br/search.php?art= Zeze Di Camargo e Luciano &mus=E-o-Amor&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
NoitePreta,VangeLeonel,"['luz', 'cidad', 'olh', 'aguent', 'luz', 'artific', 'cad', 'noit', 'pret', 'sai', 'cidad', 'procur', 'escur', 'purific', 'cal', 'noit', 'noit', 'pret', 'cal', 'noit', 'pret', 'noit', 'pret', 'cal', 'noit', 'pret', 'noit', 'pret', 'cal', 'noit', 'pret', 'fech', 'olh', 'cavern', 'coraçã', 'perd', 'sim', 'cal', 'noit', 'pret', 'deu', 'deu', 'deu', 'aond', 'vim', 'par', 'noit', 'pret', 'vou', 'entreg']",PT-BR,https://api.vagalume.com.br/search.php?art= Vange Leonel &mus=Noite-Preta&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Meapaixoneipelapessoaerrada,Exaltasamba,"['culp', 'est', 'am', 'fic', 'pens', 'tod', 'hor', 'ent', 'deix', 'acontec', 'tud', 'apav', 'culp', 'sofr', 'fantasi', 'verd', 'histór', 'namor', 'poss', 'est', 'err', 'ganh', 'desej', 'am', 'vej', 'sonh', 'aument', 'dor', 'apaixon', 'pesso', 'err', 'ninguém', 'sab', 'quant', 'sofr', 'sempr', 'vej', 'lad', 'morr', 'ciúm', 'enlouquec', 'fic', 'comig', 'deix', 'menos', 'toc', 'entend', 'lad', 'lug', 'apaixon', 'pesso', 'err', 'ninguém', 'sab', 'quant', 'sofr', 'sempr', 'vej', 'lad', 'morr', 'ciúm', 'enlouquec']",PT-BR,https://api.vagalume.com.br/search.php?art= Exaltasamba &mus=Me-apaixonei-pela-pessoa-errada&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
DepoisDoPrazer,SóPraContrariar,"['praz', 'tô', 'faz', 'am', 'outr', 'pesso', 'coraçã', 'vai', 'ser', 'pra', 'sempr', 'corp', 'faz', 'alm', 'perdo', 'tant', 'solid', 'quas', 'enlouquec', 'vou', 'fal', 'am', 'vou', 'jur', 'paix', 'diz', 'sint', 'tod', 'car', 'pens', 'vou', 'faz', 'tod', 'emoç', 'verdad', 'mint', 'viv', 'so', 'sei', 'esquec', 'acab', 'ilusã', 'cri', 'emoç', 'emb', 'gent', 'ped', 'pro', 'temp', 'corr', 'sei', 'amou', 'fal', 'dá', 'pra', 'ver', 'ness', 'hor', 'am', 'med', 'praz', 'fic', 'dentr', 'peit', 'sempr', 'saudad', 'pens', 'jeit', 'amo', 'verdad', 'desej', 'vem', 'nom', 'ch', 'poss', 'gost', 'alguém', 'amo', 'vou', 'fal', 'am', 'vou', 'jur', 'paix', 'diz', 'sint', 'tod', 'car', 'pens', 'vou', 'faz', 'tod', 'emoç', 'verdad', 'mint', 'viv', 'so', 'sei', 'esquec', 'acab', 'ilusã', 'cri', 'emoç', 'emb', 'gent', 'ped', 'pro', 'temp', 'corr', 'sei', 'amou', 'fal', 'dá', 'pra', 'ver', 'ness', 'hor', 'am', 'med', 'praz']",PT-BR,https://api.vagalume.com.br/search.php?art= So Pra Contrariar &mus=Depois-Do-Prazer&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
PrefixodeVerão,BandaMel,"['ae', 'ae', 'ae', 'ae', 'ei', 'ei', 'ei', 'ei', 'oô', 'oô', 'oô', 'oô', 'oô', 'oô', 'cheg', 'g/a', 'cheg', 'cheg', '#', 'm', 'nov', 'estaçã', 'g7+', '#', 'm', 'esper', 'ver', '#', 'm', 'salv', 'salv', '#', 'm', 'bat', 'quebr', 'tud', 'am', 'pelô', '#', 'm', 'negr', 'raç', 'frut', 'am', 'salv', 'salv', '#', 'm', 'bat', 'quebr', 'tud', 'am', 'pelô', '#', 'm', 'ae', 'ae', 'ae', 'ae', 'g7+', 'ei', 'ei', 'ei', 'ei', '#', 'm', 'oô', 'oô', 'oô', 'oô', 'oô', 'oô', 'ae', 'ae', 'ae', 'ae', 'g7+', 'ei', 'ei', 'ei', 'ei', '#', 'm', 'oô', 'oô', 'sol', '#', 'm', '#', 'm']",PT-BR,https://api.vagalume.com.br/search.php?art= Banda Mel &mus=Prefixo-de-Verao&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
TôLegal,GrupoRaça,"['faz', 'mal', 'sonh', 'cheg', 'fim', 'baix', 'astr', 'coraçã', 'jur', 'faz', 'mal', 'val', 'enquant', 'dur', 'agor', 'termin', 'precis', 'cuid', 'mim', 'faz', 'mal', 'prim', 'vez', 'grand', 'am', 'desf', 'ter', 'explic', 'faz', 'mal', 'lament', 'temp', 'apag', 'marc', 'dess', 'paix', 'tô', 'legal', 'apes', 'diss', 'tud', 'tô', 'legal', 'vou', 'pens', 'futur', 'tô', 'legal', 'coraçã', 'diz', 'tô', 'legal', 'apes', 'diss', 'tud', 'tô', 'legal', 'vou', 'pens', 'futur', 'tô', 'legal', 'quer', 'ver', 'feliz']",PT-BR,https://api.vagalume.com.br/search.php?art= Grupo Raca &mus=To-Legal&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
VidaCigana,RaçaNegra,"['oh', 'am', 'fiqu', 'trist', 'saudad', 'exist', 'pra', 'sab', 'ter', 'vid', 'cigan', 'afast', 'algum', 'temp', 'vou', 'ter', 'viv', 'aqu', 'long', 'long', 'car', 'olh', 'acompanh', 'temp', 'pens', 'cad', 'moment', 'águ', 'rio', 'vai', 'mar', 'nuv', 'nov', 'vem', 'pra', 'molh', 'noiv', 'pra', 'mim', 'lind', 'don', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'oh', 'am', 'fiqu', 'trist', 'saudad', 'exist', 'pra', 'sab', 'ter', 'vid', 'cigan', 'afast', 'algum', 'temp', 'vou', 'ter', 'viv', 'aqu', 'long', 'long', 'car', 'olh', 'acompanh', 'temp', 'pens', 'cad', 'moment', 'águ', 'rio', 'vai', 'mar', 'nuv', 'nov', 'vem', 'pra', 'molh', 'noiv', 'pra', 'mim', 'lind', 'don', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'coraçã', 'bat', 'tant', 'vê', 'verdad', 'faz', 'viv', 'coraçã', 'bat', 'tant', 'vê']", Saudade existe pra quem sabe ter, Minha vida cigana me afastou de você, Por algum tempo eu vou ter que viver," Por aqui, longe de você", Longe do teu carinho:  E do teu olhar," Que me acompanha, já tem muito tempo", Penso em você a cada momento, Sou água de rio que vai para o mar, Sou núvem nova que vem pra molhar," Essa noiva, que é você", Pra mim você é linda:  A dona do meu coração," Que bate tanto, quando te vê", É a verdade que me faz viver O meu coração bate tanto quando te vê, É a verdade que me faz viver!,PT-BR,https://api.vagalume.com.br/search.php?art= Raca Negra &mus=Vida-Cigana&apikey=dc668952146a4a25b6d06586e7b69708,aprox
Lôrabúrra,GabrieloPensador,"['exist', 'mulh', 'bel', 'abr', 'boc', 'hmm', 'trist', 'hálit', 'apodrec', 'ar', 'problem', 'fal', 'dá', 'pra', 'agüent', 'nad', 'cabeç', 'personal', 'frac', 'feminil', 'sensual', 'vac', 'produz', 'roup', 'estaçã', 'vir', 'anúnci', 'televis', 'milhã', 'pesso', 'transit', 'rua', 'conhec', 'facil', 'tip', 'peru', 'bund', 'empin', 'pra', 'mostr', 'bonit', 'cabeç', 'parafin', 'pra', 'fic', 'igual', 'paquit', 'lôir', 'búrr', 'lôir', 'búrr', 'lôir', 'búrr', 'lôir', 'búrr', 'tod', 'part', 'rio', 'jan', 'vez', 'interrog', 'tão', 'mund', 'int', 'proc', 'carr', 'proc', 'dinh', 'lug', 'dess', 'cadel', 'put', 'preocup', 'cham', 'atenç', 'idé', 'burr', 'pens', 'nad', 'quer', 'badal', 'est', 'mod', 'tir', 'ond', 'beb', 'fum', 'cadel', 'boat', 'rat', 'prai', 'apen', 'otári', 'atur', 'lai', 'enquant', 'playboy', 'dá', 'dinh', 'atenç', 'sai', 'pra', 'ser', 'ricard', 'lôrabúrr', 'lôrabúrr', 'lôrabúrr', 'lôrabúrr', 'mach', 'exig', 'talv', 'quer', 'mulh', 'intelig', 'pur', 'retrat', 'fals', 'desculp', 'am', 'prefir', 'mulh', 'verdad', 'medíocr', 'aind', 'sim', 'orgulh', 'lôraburr', 'tá', 'nad', 'tá', 'pros', 'jeit', 'forç', 'fal', 'depr', 'entend', 'problem', 'tão', 'carent', 'vou', 'us', 'nad', 'pra', 'mim', 'hmm', 'am', 'bom', 'pra', 'ah', 'deix', 'dorm', 'pra', 'dar', 'atenç', 'pra', 'sab', 'convers', 'pra', 'fal', 'sobr', 'temp', 'sobr', 'mar', 'prefir', 'dorm', 'sai', 'daqu', 'bem', 'clar', 'vou', 'repet', 'pra', 'voc', 'entend', 'vou', 'ser', 'ate', 'diret', 'lôrabúrr', 'cê', 'pass', 'mulher-objet', 'lôrabúrr', 'lôrabúrr', 'lôrabúrr', 'lôrabúrr', 'escr', 'mod', 'tod', 'igual', 'cabel', 'sorris', 'gest', 'artific', 'idé', 'banal', 'diz', 'racion', 'mulh', 'vulg', 'noit', 'nad', 'lôrabúrr', 'vulg', 'sim', 'val', 'deturp', 'levi', 'pens', 'tud', 'engan', 'frágil', 'cabec', 'porcel', 'filosof', 'ser', 'bonit', 'gost', 'diss', 'seb', 'tap', 'preconceit', 'lind', 'peit', 'merec', 'respeit', 'marionet', 'alien', 'têm', 'jeit', 'agress', 'contund', 'talv', 'pens', 'dá', 'val', 'mulh', 'pur', 'retrat', 'fals', 'desculp', 'am', 'prefir', 'mulh', 'verdad', 'lôrabúrr', 'lôrabúrr', 'lôrabúrr', 'lôrabúrr', 'problem', 'tá', 'cabel', 'tá', 'cabec', 'esqueç', 'tod', 'sóc', 'farmác', 'lorác', 'muit', 'lôrabúrr', 'cabel', 'pret', 'castanh', 'aí', 'lôrabúrr', 'moren', 'ruiv', 'pret', 'lôrabúrr', 'carec', 'lôrabúrr', 'natur', 'loraç', 'belzebúrr', 'cad', 'lôrabúrr', 'jeit', 'tod', 'sao', 'igual', 'cê', 'tá', 'entend', 'gost', 'mulh', 'lôir', 'búrr', 'lôr', 'búrr', 'lôr', 'búrr', 'lôr', 'búrr']",PT-BR,https://api.vagalume.com.br/search.php?art= Gabriel o Pensador &mus=Loraburra&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
