Music,Artist,Text,Language,Url,Search Status,Unnamed: 6
Nosbailesdavida,MiltonNascimento,"['bail', 'vid', 'bar', 'troc', 'pão', 'muit', 'gent', 'boa', 'pô', 'pé', 'profiss', 'toc', 'instrument', 'cant', 'import', 'pag', 'quil', 'ouv', 'assim', 'cant', 'busc', 'caminh', 'vai', 'dar', 'sol', 'comig', 'lembranç', 'cant', 'nad', 'long', 'tud', 'tão', 'bom', 'té', 'estr', 'terr', 'bolé', 'caminh', 'assim', 'roup', 'encharc', 'alm', 'replet', 'chã', 'tod', 'artist', 'ir', 'aond', 'pov', 'assim', 'assim', 'cant', 'desf', 'cans', 'viv', 'cant']",PT-BR,https://api.vagalume.com.br/search.php?art= Milton Nascimento &mus=Nos-bailes-da-vida&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Banhodeespuma,RitaLee,"['tal', 'doi', 'banh', 'espum', 'el', 'cuerp', 'cali', 'dolc', 'farni', 'culp', 'nenhum', 'faz', 'mass', 'relax', 'tens', 'plen', 'vagabund', 'tod', 'dispos', 'fal', 'muit', 'bob', 'esfreg', 'águ', 'sab', 'tal', 'doi', 'banh', 'espum', 'el', 'cuerp', 'cali', 'dolc', 'farni', 'culp', 'nenhum', 'faz', 'mass', 'relax', 'tens', 'plen', 'vagabund', 'tod', 'dispos', 'fal', 'muit', 'bob', 'esfreg', 'águ', 'sab', 'lá', 'rein', 'afrodit', 'am', 'pass', 'limit', 'quis', 'habilit', 'falt', 'apetit', 'tal', 'doi', 'banh', 'espum']",PT-BR,https://api.vagalume.com.br/search.php?art= Rita Lee &mus=Banho-de-espuma&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
CoraçãodeEstudante,MiltonNascimento,"['quer', 'fal', 'cois', 'adiv', 'ond', 'and', 'dev', 'est', 'dentr', 'peit', 'caminh', 'ar', 'pod', 'est', 'aqu', 'lad', 'bem', 'pert', 'pens', 'folh', 'juventud', 'nom', 'cert', 'dess', 'am', 'pod', 'moment', 'desvi', 'destin', 'sorris', 'menin', 'tant', 'vez', 'escond', 'renova-s', 'esperanç', 'nov', 'aur', 'cad', 'dia', 'cuid', 'brot', 'pra', 'vid', 'dê', 'fl', 'frut', 'coraçã', 'estud', 'cuid', 'vid', 'cuid', 'mund', 'tom', 'cont', 'amizad', 'alegr', 'sonh', 'espalh', 'caminh', 'verd', 'plant', 'sent', 'folh', 'coraçã', 'juventud', 'fé']",PT-BR,https://api.vagalume.com.br/search.php?art= Milton Nascimento &mus=Coracao-de-Estudante&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Umdiadedomingo,TimMaiaeGalCosta,"['precis', 'fal', 'encontr', 'qualqu', 'jeit', 'pra', 'sent', 'convers', 'and', 'encontr', 'vent', 'precis', 'respir', 'ar', 'rode', 'pel', 'quer', 'ter', 'sol', 'bronze', 'precis', 'toc', 'outr', 'vez', 'ver', 'sorr', 'volt', 'sonh', 'lind', 'dá', 'pra', 'viv', 'sent', 'sent', 'precis', 'descobr', 'emoç', 'est', 'contig', 'ver', 'sol', 'amanhec', 'ver', 'vid', 'acontec', 'dia', 'doming', 'faz', 'cont', 'aind', 'ced', 'tud', 'vai', 'fic', 'cont', 'emoç', 'faz', 'cont', 'aind', 'ced', 'deix', 'fal', 'voz', 'coraçã', 'precis', 'fal', 'encontr', 'qualqu', 'jeit', 'pra', 'sent', 'convers', 'and', 'encontr', 'vent', 'precis', 'respir', 'ar', 'rode', 'pel', 'quer', 'ter', 'sol', 'bronze', 'precis', 'toc', 'outr', 'vez', 'ver', 'sorr', 'volt', 'sonh', 'lind', 'dá', 'pra', 'viv', 'sent', 'sent', 'precis', 'descobr', 'emoç', 'est', 'contig', 'ver', 'sol', 'amanhec', 'ver', 'vid', 'acontec', 'dia', 'doming', 'faz', 'cont', 'aind', 'ced', 'tud', 'vai', 'fic', 'cont', 'emoç', 'faz', 'cont', 'aind', 'ced', 'deix', 'fal', 'voz', 'coraçã', 'faz', 'cont', 'aind', 'ced', 'tud', 'vai', 'fic', 'cont', 'emoç', 'faz', 'cont', 'aind', 'ced', 'deix', 'fal', 'voz', 'coraçã', 'faz', 'cont', 'aind', 'ced', 'tud', 'vai', 'fic', 'cont', 'emoç', 'emoç', 'faz', 'cont', 'aind', 'ced', 'deix', 'fal', 'voz', 'coraçã', 'deix', 'deix', 'faz', 'cont', 'aind', 'ced', 'tud', 'vai', 'fic', 'cont', 'emoç', 'emoç', 'faz', 'cont', 'aind', 'ced']",PT-BR,https://api.vagalume.com.br/search.php?art= Tim Maia e Gal Costa &mus=Um-dia-de-domingo&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK,
Demais,VeronicaSabino,"['vent', 'pass', 'troux', 'lev', 'deix', 'corp', 'marc', 'am', 'fic', 'ar', 'ilusã', 'lu', 'chuv', 'vent', 'traz', 'faz', 'lembr', 'tod', 'sonh', 'gent', 'sonh', 'planej', 'demal', 'demal', 'bem', 'pod', 'tent', 'encontr', 'vent', 'fort', 'afast', 'lev', 'escond', 'long', 'demal', 'chuv', 'vent', 'traz', 'faz', 'lembr', 'tod', 'sonh', 'gent', 'sonh', 'planej', 'demal', 'demal', 'cad', 'vent', 'sopr', 'pod', 'faz', 'volt', 'ench', 'vazi', 'fic', 'ar', 'marc', 'demal', 'marc', 'demal']",PT-BR,https://api.vagalume.com.br/search.php?art= Veronica Sabino &mus=Demais&apikey=dc668952146a4a25b6d06586e7b69708,exact,
EntreTapaseBeijos,LeandroeLeonardo,"['pergunt', 'pra', 'mim', 'aind', 'gost', 'respond', 'ódi', 'morr', 'am', 'hoj', 'junt', 'amanhã', 'vej', 'separ', 'volt', 'gent', 'seg', 'and', 'tap', 'beij', 'sempr', 'quer', 'mand', 'ir', 'emb', 'sai', 'lá', 'cham', 'pra', 'trá', 'tap', 'beij', 'ódi', 'desej', 'sonh', 'tern', 'casal', 'ama', 'cam', 'provoc', 'louc', 'assim', 'vou', 'viv', 'sofr', 'quer', 'am', 'doenti', 'falt', 'pra', 'mund', 'vazi']",PT-BR,https://api.vagalume.com.br/search.php?art= Leandro e Leonardo &mus=Entre-Tapas-e-Beijos&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Momentos,Joanna,"['moment', 'vou', 'caç', 'cam', 'segred', 'saci', 'sed', 'desej', 'deix', 'cabel', 'desal', 'afog', 'vez', 'car', 'quer', 'fic', 'assim', 'tod', 'noit', 'copi', 'traç', 'lent', 'deix', 'pous', 'beij', 'corp', 'deix', 'am', 'faç', 'mans', 'vem', 'fic', 'comig', 'abandon', 'dess', 'abraç', 'adormeç', 'peit', 'cans', 'tão', 'difícil', 'moment', 'pra', 'doi', 'vem', 'traz', 'contig', 'paz', 'tão', 'esper', 'faz', 'dess', 'noit', 'etern', 'madrug', 'despert', 'vid', 'adormec']",PT-BR,https://api.vagalume.com.br/search.php?art= Joanna &mus=Momentos&apikey=dc668952146a4a25b6d06586e7b69708,exact,
Emoções,RobertoCarlos,"['aqu', 'viv', 'moment', 'lind', 'olh', 'pra', 'mesm', 'emoç', 'sent', 'tant', 'viv', 'moment', 'esquec', 'detalh', 'vid', 'histór', 'cont', 'aqu', 'amig', 'ganh', 'saudad', 'sent', 'part', 'vez', 'deix', 'ver', 'chor', 'sorr', 'sei', 'tud', 'am', 'capaz', 'dar', 'sei', 'sofr', 'deix', 'am', 'chor', 'sorr', 'import', 'emoç', 'viv', 'tant', 'viv', 'moment', 'esquec', 'detalh', 'vid', 'histór', 'cont', 'aqu', 'aqu', 'viv', 'moment', 'lind', 'frent', 'pra', 'emoç', 'repet', 'paz', 'vid', 'traz', 'fé', 'faz', 'otim', 'demal', 'chor', 'sorr', 'import', 'emoç', 'viv', 'chor', 'sorr', 'import', 'emoç', 'viv']",PT-BR,https://api.vagalume.com.br/search.php?art= Roberto Carlos &mus=Emocoes&apikey=dc668952146a4a25b6d06586e7b69708,exact,
LeãoFerido,Biafra,"['fech', 'olh', 'quer', 'dentr', 'coraçã', 'quant', 'vez', 'tent', 'fal', 'gost', 'ver', 'assim', 'soluç', 'verdad', 'dói', 'demal', 'mim', 'solid', 'ser', 'band', 'ser', 'cruel', 'leã', 'fer', 'feroz', 'heró', 'venc', 'anj', 'fer', 'céu', 'grit', 'am', 'sum', 'voz', 'ond']",PT-BR,https://api.vagalume.com.br/search.php?art= Biafra &mus=Leao-Ferido&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
ComoumaOnda,LuluSantos,"['nad', 'nov', 'jeit', 'dia', 'tud', 'pass', 'tud', 'sempr', 'pass', 'vid', 'vem', 'ond', 'mar', 'ind', 'vind', 'infinit', 'tud', 'vê', 'igual', 'gent', 'viu', 'segund', 'tud', 'mud', 'temp', 'tod', 'mund', 'adiant', 'fug', 'ment', 'pra', 'si', 'agor', 'tant', 'vid', 'lá', 'aqu', 'dentr', 'sempr', 'ond', 'mar', 'ond', 'mar', 'ond', 'mar']",PT-BR,https://api.vagalume.com.br/search.php?art= Lulu Santos &mus=Como-uma-Onda&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Óculos,OsParalamasDoSucesso,"['menin', 'leblon', 'olh', 'pra', 'mim', 'uso', 'ócul', 'volt', 'mei', 'entr', 'carr', 'contr', 'tô', 'ócul', 'tô', 'alegr', 'ponh', 'ócul', 'vej', 'tud', 'bem', 'tô', 'trist', 'tir', 'ócul', 'vej', 'ninguém', 'olh', 'pra', 'mim', 'diz', 'mal', 'olh', 'pra', 'mim', 'trá', 'dess', 'lent', 'car', 'legal', 'decid', 'diz', 'nunc', 'tal', 'jog', 'tent', 'faz', 'charm', 'intelect', 'diss', 'perig', 'acredit', 'mim', 'nasc', 'ócul', 'assim', 'olh', 'pra', 'mim', 'diz', 'mal', 'olh', 'pra', 'mim', 'trá', 'dess', 'lent', 'car', 'legal', 'olh', 'pra', 'mim', 'diz', 'sempr', 'olh', 'pra', 'mim', 'trá', 'dess', 'lent', 'bat', 'coraçã']",PT-BR,https://api.vagalume.com.br/search.php?art= Os Paralamas Do Sucesso &mus=Oculos&apikey=dc668952146a4a25b6d06586e7b69708,exact,
EduardoeMônica,LegiãoUrbana,"['dia', 'irá', 'diz', 'exist', 'ra', 'cois', 'feit', 'coraçã', 'irá', 'diz', 'exist', 'ra', 'eduard', 'abr', 'olh', 'quil', 'levant', 'fic', 'deit', 'viu', 'hor', 'enquant', 'mônic', 'tom', 'conhaqu', 'outr', 'cant', 'cidad', 'diss', 'eduard', 'mônic', 'dia', 'encontr', 'quer', 'convers', 'pra', 'tent', 'conhec', 'car', 'curs', 'eduard', 'diss', 'fest', 'legal', 'gent', 'qu', 'divert', 'fest', 'estranh', 'gent', 'esquisit', 'legal', 'aguent', 'birit', 'mônic', 'riu', 'quil', 'sab', 'pouc', 'sobr', 'boy', 'tent', 'impress', 'eduard', 'mei', 'tont', 'pens', 'ir', 'pra', 'cas', 'quas', 'dua', 'vou', 'ferr', 'eduard', 'mônic', 'troc', 'telefon', 'telefon', 'decid', 'encontr', 'eduard', 'suger', 'lanchonet', 'mônic', 'quer', 'ver', 'film', 'godard', 'encontr', 'ent', 'parqu', 'cidad', 'mônic', 'mot', 'eduard', 'camel', 'eduard', 'ach', 'estranh', 'melhor', 'coment', 'menin', 'tint', 'cabel', 'eduard', 'mônic', 'nad', 'parec', 'leã', 'dezessel', 'faz', 'medicin', 'fal', 'alem', 'aind', 'aul', 'ingl', 'gost', 'bande', 'bauhau', 'van', 'gogh', 'mut', 'caet', 'rimbaud', 'eduard', 'gost', 'novel', 'jog', 'futebol-de-bot', 'avô', 'fal', 'cois', 'sobr', 'planalt', 'centr', 'mag', 'medit', 'eduard', 'aind', 'esquem', 'escol', 'cinem', 'club', 'televis', 'tud', 'difer', 'vei', 'repent', 'vontad', 'ver', 'doi', 'encontr', 'tod', 'dia', 'vontad', 'cresc', 'ser', 'eduard', 'mônic', 'fiz', 'nat', 'fotograf', 'teatr', 'artesanat', 'viaj', 'mônic', 'explic', 'pro', 'eduard', 'cois', 'sobr', 'céu', 'terr', 'águ', 'ar', 'aprend', 'beb', 'deix', 'cabel', 'cresc', 'decid', 'trabalh', 'form', 'mê', 'pass', 'vestibul', 'doi', 'comemor', 'junt', 'brig', 'junt', 'muit', 'vez', 'tod', 'mund', 'diz', 'complet', 'vice-vers', 'feij', 'arroz', 'constru', 'cas', 'um', 'doi', 'ano', 'atrás', 'menos', 'gême', 'vier', 'batalh', 'gran', 'segur', 'legal', 'barr', 'pes', 'eduard', 'mônic', 'volt', 'pra', 'brasíl', 'amizad', 'dá', 'saudad', 'ver', 'ness', 'férias', 'vão', 'viaj', 'porqu', 'filh', 'eduard', 'tá', 'recuper', 'dia', 'irá', 'diz', 'exist', 'ra', 'cois', 'feit', 'coraçã', 'irá', 'diz', 'exist', 'ra']",PT-BR,https://api.vagalume.com.br/search.php?art= Legiao Urbana &mus=Eduardo-e-Monica&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
UmCertoAlguém,LuluSantos,"['quil', 'evit', 'olh', 'pud', 'reag', 'fic', 'vontad', 'ent', 'ach', 'bob', 'mani', 'fing', 'neg', 'intenç', 'cert', 'alguém', 'cruz', 'caminh', 'mud', 'direç', 'cheg', 'fic', 'jeit', 'deix', 'segu', 'apar', 'cert', 'alguém', 'despert', 'sent', 'melhor', 'resist', 'entreg', 'dê', 'mão', 'vem', 'ser', 'estrel', 'complic', 'tão', 'fácil', 'entend', 'vam', 'danç', 'luz', 'madrug', 'inspir', 'pra', 'tud', 'viv', 'cert', 'alguém', 'cruz', 'caminh', 'melhor', 'resist', 'entreg', 'dê', 'mão', 'vem', 'ser', 'estrel', 'complic', 'tão', 'fácil', 'entend', 'vam', 'danç', 'luz', 'madrug', 'inspir', 'pra', 'tud', 'viv', 'viv', 'cert', 'alguém', 'despert', 'sent', 'melhor', 'resist', 'entreg']",PT-BR,https://api.vagalume.com.br/search.php?art= Lulu Santos &mus=Um-Certo-Alguem&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
MeninodoRio,BabyConsuelo,"['menin', 'rio', 'cal', 'provoc', 'arrepi', 'drag', 'tatu', 'braç', 'calç', 'corp', 'abert', 'espaç', 'coraçã', 'etern', 'flert', 'ador', 'ver-t', 'menin', 'vadi', 'tens', 'flutu', 'rio', 'cant', 'deu', 'proteger-t', 'menin', 'rio', 'cal', 'provoc', 'arrepi', 'drag', 'tatu', 'braç', 'calç', 'corp', 'abert', 'espaç', 'coraçã', 'etern', 'flert', 'ador', 'ver-t', 'menin', 'vadi', 'tens', 'flutu', 'rio', 'cant', 'deu', 'proteger-t', 'havaí', 'aqu', 'tud', 'sonh', 'tod', 'lug', 'ond', 'mar', 'poi', 'vej', 'desej', 'desej', 'menin', 'rio', 'cal', 'provoc', 'arrepi', 'tom', 'cançã', 'beij']",PT-BR,https://api.vagalume.com.br/search.php?art= Baby Consuelo &mus=Menino-do-Rio&apikey=dc668952146a4a25b6d06586e7b69708,aprox,
Saúde,RitaLee,"['cans', 'lero-ler', 'dá', 'licenç', 'vou', 'sair', 'séri', 'quer', 'saúd', 'cans', 'escut', 'opin', 'ter', 'mund', 'melhor', 'ninguém', 'sai', 'cim', 'ness', 'chove-não-molh', 'sei', 'agor', 'vou', 'cuid', 'mim', 'vai', 'tud', 'bem', 'apes', 'contud', 'todav', 'porém', 'águ', 'vão', 'rol', 'vou', 'chor', 'acas', 'morr', 'coraçã', 'sinal', 'ame', 'demal', 'enquant', 'viv', 'chei', 'graç', 'talv', 'aind', 'faç', 'mont', 'gent', 'feliz']",PT-BR,https://api.vagalume.com.br/search.php?art= Rita Lee &mus=Saude&apikey=dc668952146a4a25b6d06586e7b69708,exact,
